smoothed_trust_fam,smoothed_trust_fam_se,sample_size,country,iso_code,gid_0,survey_date
0.498232,0.003717,18090.0,Japan,JPN,JPN,20201223
0.259817,0.015516,803.0,Jordan,JOR,JOR,20201223
0.216005,0.023455,310.0,Kazakhstan,KAZ,KAZ,20201223
0.560818,0.016443,914.0,Kenya,KEN,KEN,20201223
0.394619,0.03241,230.0,Kuwait,KWT,KWT,20201223
0.222854,0.037097,130.0,Kyrgyzstan,KGZ,KGZ,20201223
0.257199,0.023004,360.0,Lebanon,LBN,LBN,20201223
0.39853,0.023342,438.0,Libya,LBY,LBY,20201223
0.420852,0.011791,1762.0,Malaysia,MYS,MYS,20201223
0.565941,0.00338,21500.0,Mexico,MEX,MEX,20201223
0.25824,0.027499,255.0,Moldova,MDA,MDA,20201223
0.348239,0.020383,549.0,Morocco,MAR,MAR,20201223
0.58658,0.018213,733.0,Myanmar,MMR,MMR,20201223
0.534317,0.020335,606.0,Nepal,NPL,NPL,20201223
0.21509,0.006754,3748.0,Netherlands,NLD,NLD,20201223
0.304515,0.01331,1201.0,New Zealand,NZL,NZL,20201223
0.57716,0.021668,519.0,Nicaragua,NIC,NIC,20201223
0.523541,0.014225,1238.0,Nigeria,NGA,NGA,20201223
0.296413,0.009647,2246.0,Norway,NOR,NOR,20201223
0.530348,0.048612,107.0,Oman,OMN,OMN,20201223
0.533273,0.012111,1699.0,Pakistan,PAK,PAK,20201223
0.273173,0.025028,338.0,Palestine,PSE,PSE,20201223
0.534718,0.020227,614.0,Panama,PAN,PAN,20201223
0.428658,0.022118,514.0,Paraguay,PRY,PRY,20201223
0.497604,0.011165,2012.0,Peru,PER,PER,20201223
0.411454,0.009187,2864.0,Philippines,PHL,PHL,20201223
0.317004,0.008896,2745.0,Poland,POL,POL,20201223
0.400015,0.010002,2453.0,Portugal,PRT,PRT,20201223
0.526847,0.014316,1236.0,"Puerto Rico, U.S.",PRI,PRI,20201223
0.508955,0.039564,190.0,Qatar,QAT,QAT,20201223
0.233429,0.008937,2243.0,Romania,ROU,ROU,20201223
0.254704,0.008227,2818.0,Russia,RUS,RUS,20201223
0.424735,0.016235,929.0,Saudi Arabia,SAU,SAU,20201223
0.315908,0.015699,893.0,Serbia,SRB,SRB,20201223
0.399506,0.023903,428.0,Singapore,SGP,SGP,20201223
0.360321,0.014144,1157.0,Slovakia,SVK,SVK,20201223
0.288042,0.022044,424.0,Slovenia,SVN,SVN,20201223
0.419772,0.009253,2837.0,South Africa,ZAF,ZAF,20201223
0.587836,0.01118,1940.0,South Korea,KOR,KOR,20201223
0.294862,0.00604,5703.0,Spain,ESP,ESP,20201223
0.432864,0.027346,327.0,Sri Lanka,LKA,LKA,20201223
0.384986,0.022842,457.0,Sudan,SDN,SDN,20201223
0.391733,0.00605,6532.0,Sweden,SWE,SWE,20201223
0.235717,0.010805,1546.0,Switzerland,CHE,CHE,20201223
0.332719,0.007276,4209.0,Taiwan,TWN,TWN,20201223
0.545775,0.005369,8592.0,Thailand,THA,THA,20201223
0.253542,0.017309,629.0,Tunisia,TUN,TUN,20201223
0.256906,0.006547,4444.0,Turkey,TUR,TUR,20201223
0.280382,0.0076,3496.0,Ukraine,UKR,UKR,20201223
0.404411,0.018747,687.0,United Arab Emirates,ARE,ARE,20201223
0.362366,0.00622,5973.0,United Kingdom,GBR,GBR,20201223
0.376116,0.011767,1697.0,Uruguay,URY,URY,20201223
0.297715,0.034337,178.0,Uzbekistan,UZB,UZB,20201223
0.516767,0.012332,1654.0,Venezuela,VEN,VEN,20201223
0.518641,0.008884,3160.0,Vietnam,VNM,VNM,20201223
0.310498,0.031483,215.0,Yemen,YEM,YEM,20201223
0.622006,0.026476,335.0,Afghanistan,AFG,AFG,20201224
0.398243,0.032989,224.0,Albania,ALB,ALB,20201224
0.220376,0.01259,1087.0,Algeria,DZA,DZA,20201224
0.491086,0.039663,160.0,Angola,AGO,AGO,20201224
0.397622,0.005907,6931.0,Argentina,ARG,ARG,20201224
0.32734,0.045279,111.0,Armenia,ARM,ARM,20201224
0.311638,0.006571,4998.0,Australia,AUS,AUS,20201224
0.245101,0.009584,2017.0,Austria,AUT,AUT,20201224
0.313567,0.02611,320.0,Azerbaijan,AZE,AZE,20201224
0.642094,0.011897,1649.0,Bangladesh,BGD,BGD,20201224
0.224348,0.015163,768.0,Belarus,BLR,BLR,20201224
0.212061,0.00897,2160.0,Belgium,BEL,BEL,20201224
0.504588,0.011557,1863.0,Bolivia,BOL,BOL,20201224
0.334651,0.025172,381.0,Bosnia and Herzegovina,BIH,BIH,20201224
0.458137,0.002606,36577.0,Brazil,BRA,BRA,20201224
0.2716,0.013409,1106.0,Bulgaria,BGR,BGR,20201224
0.366638,0.042966,112.0,Burkina Faso,BFA,BFA,20201224
0.429651,0.036036,194.0,Cambodia,KHM,KHM,20201224
0.314709,0.037502,155.0,Cameroon,CMR,CMR,20201224
0.303012,0.005121,8070.0,Canada,CAN,CAN,20201224
0.467509,0.008208,3700.0,Chile,CHL,CHL,20201224
0.531187,0.005565,8039.0,Colombia,COL,COL,20201224
0.56135,0.012123,1682.0,Costa Rica,CRI,CRI,20201224
0.381039,0.034099,201.0,C̫te d'Ivoire,CIV,CIV,20201224
0.26527,0.013081,1131.0,Croatia,HRV,HRV,20201224
0.32974,0.009669,2367.0,Czech Republic,CZE,CZE,20201224
0.293035,0.00739,3809.0,Denmark,DNK,DNK,20201224
0.460522,0.015172,1084.0,Dominican Republic,DOM,DOM,20201224
0.470612,0.009219,2945.0,Ecuador,ECU,ECU,20201224
0.338728,0.006626,5113.0,Egypt,EGY,EGY,20201224
0.534384,0.013844,1308.0,El Salvador,SLV,SLV,20201224
0.491198,0.031989,247.0,Ethiopia,ETH,ETH,20201224
0.351127,0.014636,1089.0,Finland,FIN,FIN,20201224
0.185196,0.003771,10620.0,France,FRA,FRA,20201224
0.284523,0.003868,13616.0,Germany,DEU,DEU,20201224
0.421071,0.021808,515.0,Ghana,GHA,GHA,20201224
0.285842,0.010256,1944.0,Greece,GRC,GRC,20201224
0.573938,0.014109,1242.0,Guatemala,GTM,GTM,20201224
0.566572,0.017542,807.0,Honduras,HND,HND,20201224
0.423877,0.016221,938.0,Hong Kong,HKG,HKG,20201224
0.234484,0.00663,4126.0,Hungary,HUN,HUN,20201224
0.522808,0.004376,13032.0,India,IND,IND,20201224
0.277897,0.005472,6709.0,Indonesia,IDN,IDN,20201224
0.337738,0.011747,1655.0,Iraq,IRQ,IRQ,20201224
0.369171,0.011487,1778.0,Ireland,IRL,IRL,20201224
0.39476,0.009799,2586.0,Israel,ISR,ISR,20201224
0.282741,0.004011,12644.0,Italy,ITA,ITA,20201224
0.493872,0.003151,25170.0,Japan,JPN,JPN,20201224
0.243769,0.012805,1127.0,Jordan,JOR,JOR,20201224
0.23082,0.020116,440.0,Kazakhstan,KAZ,KAZ,20201224
0.569274,0.013944,1265.0,Kenya,KEN,KEN,20201224
0.397509,0.028766,300.0,Kuwait,KWT,KWT,20201224
0.306271,0.035938,180.0,Kyrgyzstan,KGZ,KGZ,20201224
0.478308,0.046758,118.0,Laos,LAO,LAO,20201224
0.263606,0.020292,471.0,Lebanon,LBN,LBN,20201224
0.406649,0.019351,650.0,Libya,LBY,LBY,20201224
0.42164,0.010102,2400.0,Malaysia,MYS,MYS,20201224
0.491667,0.047692,118.0,Mali,MLI,MLI,20201224
0.575551,0.002914,28755.0,Mexico,MEX,MEX,20201224
0.274159,0.023204,372.0,Moldova,MDA,MDA,20201224
0.342453,0.016807,801.0,Morocco,MAR,MAR,20201224
0.541284,0.043848,132.0,Mozambique,MOZ,MOZ,20201224
0.576421,0.015381,1034.0,Myanmar,MMR,MMR,20201224
0.559021,0.016875,877.0,Nepal,NPL,NPL,20201224
0.219384,0.005762,5252.0,Netherlands,NLD,NLD,20201224
0.316677,0.011759,1574.0,New Zealand,NZL,NZL,20201224
0.58487,0.018759,690.0,Nicaragua,NIC,NIC,20201224
0.523155,0.011955,1756.0,Nigeria,NGA,NGA,20201224
0.30091,0.008314,3049.0,Norway,NOR,NOR,20201224
0.493277,0.041694,145.0,Oman,OMN,OMN,20201224
0.53482,0.010209,2391.0,Pakistan,PAK,PAK,20201224
0.268871,0.020311,499.0,Palestine,PSE,PSE,20201224
0.529542,0.017416,828.0,Panama,PAN,PAN,20201224
0.455005,0.019162,684.0,Paraguay,PRY,PRY,20201224
0.505222,0.009602,2727.0,Peru,PER,PER,20201224
0.418373,0.007935,3862.0,Philippines,PHL,PHL,20201224
0.316366,0.007611,3746.0,Poland,POL,POL,20201224
0.405352,0.00865,3282.0,Portugal,PRT,PRT,20201224
0.518629,0.01222,1695.0,"Puerto Rico, U.S.",PRI,PRI,20201224
0.475176,0.032747,264.0,Qatar,QAT,QAT,20201224
0.230719,0.007491,3172.0,Romania,ROU,ROU,20201224
0.255041,0.006913,3994.0,Russia,RUS,RUS,20201224
0.416558,0.013915,1261.0,Saudi Arabia,SAU,SAU,20201224
0.321309,0.01336,1248.0,Serbia,SRB,SRB,20201224
0.366817,0.019784,597.0,Singapore,SGP,SGP,20201224
0.358382,0.011938,1621.0,Slovakia,SVK,SVK,20201224
0.287094,0.018708,588.0,Slovenia,SVN,SVN,20201224
0.412715,0.008042,3770.0,South Africa,ZAF,ZAF,20201224
0.579541,0.009629,2629.0,South Korea,KOR,KOR,20201224
0.301736,0.005203,7799.0,Spain,ESP,ESP,20201224
0.425721,0.023215,454.0,Sri Lanka,LKA,LKA,20201224
0.386289,0.019028,663.0,Sudan,SDN,SDN,20201224
0.391523,0.005272,8936.0,Sweden,SWE,SWE,20201224
0.239381,0.009269,2125.0,Switzerland,CHE,CHE,20201224
