smoothed_pct_hes_waitlater,smoothed_hes_waitlater_se,sample_size,country,iso_code,gid_0,survey_date
0.531476,0.017477,818.0,Nigeria,NGA,NGA,20210208
0.464005,0.017635,807.0,Norway,NOR,NOR,20210208
0.521359,0.019571,658.0,Pakistan,PAK,PAK,20210208
0.631937,0.039844,165.0,Palestine,PSE,PSE,20210208
0.524274,0.032547,240.0,Panama,PAN,PAN,20210208
0.489599,0.025955,375.0,Paraguay,PRY,PRY,20210208
0.518907,0.011228,1980.0,Peru,PER,PER,20210208
0.598492,0.010026,2394.0,Philippines,PHL,PHL,20210208
0.435914,0.012237,1645.0,Poland,POL,POL,20210208
0.374331,0.011406,1802.0,Portugal,PRT,PRT,20210208
0.611181,0.024568,406.0,"Puerto Rico, U.S.",PRI,PRI,20210208
0.420737,0.014456,1171.0,Romania,ROU,ROU,20210208
0.421927,0.010121,2393.0,Russia,RUS,RUS,20210208
0.532752,0.022277,499.0,Saudi Arabia,SAU,SAU,20210208
0.449126,0.020225,605.0,Serbia,SRB,SRB,20210208
0.541417,0.039557,162.0,Singapore,SGP,SGP,20210208
0.463565,0.019739,639.0,Slovakia,SVK,SVK,20210208
0.413648,0.028549,300.0,Slovenia,SVN,SVN,20210208
0.525002,0.01397,1284.0,South Africa,ZAF,ZAF,20210208
0.620308,0.015975,921.0,South Korea,KOR,KOR,20210208
0.377567,0.008954,2933.0,Spain,ESP,ESP,20210208
0.449969,0.038748,164.0,Sri Lanka,LKA,LKA,20210208
0.532281,0.034098,216.0,Sudan,SDN,SDN,20210208
0.457085,0.011271,1949.0,Sweden,SWE,SWE,20210208
0.43837,0.016006,968.0,Switzerland,CHE,CHE,20210208
0.673064,0.00795,3495.0,Taiwan,TWN,TWN,20210208
0.492369,0.043764,129.0,Tanzania,TZA,TZA,20210208
0.598236,0.010193,2318.0,Thailand,THA,THA,20210208
0.49809,0.019662,652.0,Tunisia,TUN,TUN,20210208
0.537473,0.010452,2296.0,Turkey,TUR,TUR,20210208
0.409908,0.009328,2801.0,Ukraine,UKR,UKR,20210208
0.649091,0.031349,239.0,United Arab Emirates,ARE,ARE,20210208
0.373144,0.011838,1674.0,United Kingdom,GBR,GBR,20210208
0.52379,0.017981,779.0,Uruguay,URY,URY,20210208
0.440739,0.038445,179.0,Uzbekistan,UZB,UZB,20210208
0.557861,0.015358,1052.0,Venezuela,VEN,VEN,20210208
0.425153,0.007492,4356.0,Vietnam,VNM,VNM,20210208
0.511799,0.047959,109.0,Yemen,YEM,YEM,20210208
0.458599,0.041614,171.0,Afghanistan,AFG,AFG,20210209
0.377952,0.035282,185.0,Albania,ALB,ALB,20210209
0.47739,0.016377,942.0,Algeria,DZA,DZA,20210209
0.543177,0.047707,119.0,Angola,AGO,AGO,20210209
0.524329,0.007436,4516.0,Argentina,ARG,ARG,20210209
0.56051,0.011556,2366.0,Australia,AUS,AUS,20210209
0.498645,0.015656,1026.0,Austria,AUT,AUT,20210209
0.407034,0.036925,184.0,Azerbaijan,AZE,AZE,20210209
