smoothed_trust_who,smoothed_trust_who_se,sample_size,country,iso_code,gid_0,survey_date
0.348484,0.022515,471.0,Bosnia and Herzegovina,BIH,BIH,20201225
0.707943,0.002092,47274.0,Brazil,BRA,BRA,20201225
0.303274,0.012489,1363.0,Bulgaria,BGR,BGR,20201225
0.43174,0.041788,140.0,Burkina Faso,BFA,BFA,20201225
0.665326,0.031021,238.0,Cambodia,KHM,KHM,20201225
0.41353,0.035435,186.0,Cameroon,CMR,CMR,20201225
0.442337,0.004949,10114.0,Canada,CAN,CAN,20201225
0.52587,0.007285,4685.0,Chile,CHL,CHL,20201225
0.60835,0.004905,9918.0,Colombia,COL,COL,20201225
0.648339,0.01045,2090.0,Costa Rica,CRI,CRI,20201225
0.456109,0.032056,246.0,C̫te d'Ivoire,CIV,CIV,20201225
0.293588,0.012097,1416.0,Croatia,HRV,HRV,20201225
0.220331,0.007603,2979.0,Czech Republic,CZE,CZE,20201225
0.229248,0.040979,104.0,Democratic Republic of the Congo,COD,COD,20201225
0.448647,0.007144,4890.0,Denmark,DNK,DNK,20201225
0.482583,0.013602,1354.0,Dominican Republic,DOM,DOM,20201225
0.541238,0.00832,3599.0,Ecuador,ECU,ECU,20201225
0.522234,0.006135,6653.0,Egypt,EGY,EGY,20201225
0.573668,0.012215,1653.0,El Salvador,SLV,SLV,20201225
0.700471,0.026991,291.0,Ethiopia,ETH,ETH,20201225
0.498929,0.013207,1452.0,Finland,FIN,FIN,20201225
0.300705,0.003948,13526.0,France,FRA,FRA,20201225
0.335969,0.003549,17738.0,Germany,DEU,DEU,20201225
0.560543,0.019816,634.0,Ghana,GHA,GHA,20201225
0.498546,0.009865,2587.0,Greece,GRC,GRC,20201225
0.613503,0.012378,1542.0,Guatemala,GTM,GTM,20201225
0.445396,0.047791,104.0,Haiti,HTI,HTI,20201225
0.617978,0.01489,1063.0,Honduras,HND,HND,20201225
0.419249,0.014578,1153.0,Hong Kong,HKG,HKG,20201225
0.315872,0.006327,5397.0,Hungary,HUN,HUN,20201225
0.629648,0.003809,16076.0,India,IND,IND,20201225
0.356891,0.005223,8427.0,Indonesia,IDN,IDN,20201225
0.483185,0.011184,2058.0,Iraq,IRQ,IRQ,20201225
0.532514,0.010755,2168.0,Ireland,IRL,IRL,20201225
0.478311,0.00888,3263.0,Israel,ISR,ISR,20201225
0.512678,0.003927,16287.0,Italy,ITA,ITA,20201225
0.402721,0.002726,32360.0,Japan,JPN,JPN,20201225
0.326748,0.012396,1446.0,Jordan,JOR,JOR,20201225
0.249726,0.01884,527.0,Kazakhstan,KAZ,KAZ,20201225
0.693501,0.011713,1554.0,Kenya,KEN,KEN,20201225
0.457183,0.026637,360.0,Kuwait,KWT,KWT,20201225
