smoothed_pct_hes_dontbelieve,smoothed_hes_dontbelieve_se,sample_size,country,iso_code,gid_0,survey_date
0.07423,0.006524,1612.0,Thailand,THA,THA,20210207
0.141849,0.016794,430.0,Tunisia,TUN,TUN,20210207
0.155673,0.009091,1592.0,Turkey,TUR,TUR,20210207
0.190909,0.009065,1882.0,Ukraine,UKR,UKR,20210207
0.093357,0.024669,143.0,United Arab Emirates,ARE,ARE,20210207
0.135386,0.010231,1115.0,United Kingdom,GBR,GBR,20210207
0.116702,0.013945,503.0,Uruguay,URY,URY,20210207
0.204304,0.04038,117.0,Uzbekistan,UZB,UZB,20210207
0.092537,0.011033,696.0,Venezuela,VEN,VEN,20210207
0.062009,0.004598,2760.0,Vietnam,VNM,VNM,20210207
0.137552,0.033959,123.0,Afghanistan,AFG,AFG,20210208
0.150904,0.029666,139.0,Albania,ALB,ALB,20210208
0.208545,0.01544,705.0,Algeria,DZA,DZA,20210208
0.0871,0.004864,3366.0,Argentina,ARG,ARG,20210208
0.090744,0.006844,1763.0,Australia,AUS,AUS,20210208
0.222011,0.014982,777.0,Austria,AUT,AUT,20210208
0.239875,0.034375,152.0,Azerbaijan,AZE,AZE,20210208
0.083745,0.010791,665.0,Bangladesh,BGD,BGD,20210208
0.14711,0.016955,449.0,Belarus,BLR,BLR,20210208
0.189064,0.013262,876.0,Belgium,BEL,BEL,20210208
0.057484,0.007753,885.0,Bolivia,BOL,BOL,20210208
0.21466,0.027873,221.0,Bosnia and Herzegovina,BIH,BIH,20210208
0.077633,0.003001,7959.0,Brazil,BRA,BRA,20210208
0.187728,0.013544,838.0,Bulgaria,BGR,BGR,20210208
0.254231,0.04077,116.0,Cameroon,CMR,CMR,20210208
0.1584,0.007381,2446.0,Canada,CAN,CAN,20210208
0.090839,0.007874,1340.0,Chile,CHL,CHL,20210208
0.084183,0.005079,2995.0,Colombia,COL,COL,20210208
0.073029,0.014973,305.0,Costa Rica,CRI,CRI,20210208
0.203847,0.033551,143.0,C̫te d'Ivoire,CIV,CIV,20210208
0.220845,0.019625,447.0,Croatia,HRV,HRV,20210208
0.229989,0.011398,1366.0,Czech Republic,CZE,CZE,20210208
0.16875,0.015202,592.0,Denmark,DNK,DNK,20210208
0.139708,0.016107,465.0,Dominican Republic,DOM,DOM,20210208
0.07047,0.007416,1217.0,Ecuador,ECU,ECU,20210208
0.15901,0.00937,1515.0,Egypt,EGY,EGY,20210208
0.05919,0.010104,554.0,El Salvador,SLV,SLV,20210208
0.188807,0.030445,148.0,Ethiopia,ETH,ETH,20210208
0.143868,0.022792,249.0,Finland,FIN,FIN,20210208
0.137719,0.004233,6632.0,France,FRA,FRA,20210208
0.163055,0.005206,5042.0,Germany,DEU,DEU,20210208
0.152708,0.016952,460.0,Ghana,GHA,GHA,20210208
0.105849,0.008921,1196.0,Greece,GRC,GRC,20210208
0.148475,0.016669,451.0,Guatemala,GTM,GTM,20210208
0.096556,0.014061,456.0,Honduras,HND,HND,20210208
0.110167,0.017423,325.0,Hong Kong,HKG,HKG,20210208
0.242835,0.010362,1719.0,Hungary,HUN,HUN,20210208
0.142905,0.005468,4114.0,India,IND,IND,20210208
0.145521,0.007064,2492.0,Indonesia,IDN,IDN,20210208
0.26026,0.016056,760.0,Iraq,IRQ,IRQ,20210208
0.116768,0.016146,395.0,Ireland,IRL,IRL,20210208
0.250915,0.022096,379.0,Israel,ISR,ISR,20210208
0.09188,0.004611,3925.0,Italy,ITA,ITA,20210208
0.033686,0.001452,15469.0,Japan,JPN,JPN,20210208
0.223478,0.020325,422.0,Jordan,JOR,JOR,20210208
0.227362,0.023275,334.0,Kazakhstan,KAZ,KAZ,20210208
0.096023,0.013683,469.0,Kenya,KEN,KEN,20210208
0.173529,0.035088,122.0,Kuwait,KWT,KWT,20210208
0.120111,0.03027,118.0,Kyrgyzstan,KGZ,KGZ,20210208
0.13124,0.018623,325.0,Lebanon,LBN,LBN,20210208
0.168483,0.022811,277.0,Libya,LBY,LBY,20210208
0.054924,0.006722,1149.0,Malaysia,MYS,MYS,20210208
0.048221,0.002466,7548.0,Mexico,MEX,MEX,20210208
0.180184,0.028525,184.0,Moldova,MDA,MDA,20210208
0.20771,0.023563,303.0,Morocco,MAR,MAR,20210208
0.082905,0.019248,209.0,Mozambique,MOZ,MOZ,20210208
0.086554,0.014947,339.0,Nepal,NPL,NPL,20210208
0.283914,0.012278,1350.0,Netherlands,NLD,NLD,20210208
0.129118,0.012356,734.0,New Zealand,NZL,NZL,20210208
0.098727,0.019169,244.0,Nicaragua,NIC,NIC,20210208
0.191101,0.013789,818.0,Nigeria,NGA,NGA,20210208
0.102689,0.010564,807.0,Norway,NOR,NOR,20210208
0.146288,0.013929,658.0,Pakistan,PAK,PAK,20210208
0.259693,0.036101,165.0,Palestine,PSE,PSE,20210208
0.05867,0.015467,240.0,Panama,PAN,PAN,20210208
0.104045,0.015698,375.0,Paraguay,PRY,PRY,20210208
0.074002,0.005898,1980.0,Peru,PER,PER,20210208
0.077641,0.00547,2394.0,Philippines,PHL,PHL,20210208
0.211833,0.010067,1645.0,Poland,POL,POL,20210208
0.03116,0.004101,1802.0,Portugal,PRT,PRT,20210208
0.068222,0.012556,406.0,"Puerto Rico, U.S.",PRI,PRI,20210208
0.222055,0.012162,1171.0,Romania,ROU,ROU,20210208
0.19599,0.008147,2393.0,Russia,RUS,RUS,20210208
0.13049,0.015109,499.0,Saudi Arabia,SAU,SAU,20210208
0.19023,0.015938,605.0,Serbia,SRB,SRB,20210208
0.056525,0.01792,162.0,Singapore,SGP,SGP,20210208
0.168842,0.014846,639.0,Slovakia,SVK,SVK,20210208
0.262533,0.02546,300.0,Slovenia,SVN,SVN,20210208
0.108719,0.008705,1284.0,South Africa,ZAF,ZAF,20210208
0.040332,0.006501,921.0,South Korea,KOR,KOR,20210208
0.060427,0.004408,2933.0,Spain,ESP,ESP,20210208
0.034883,0.014307,164.0,Sri Lanka,LKA,LKA,20210208
0.20532,0.027074,216.0,Sudan,SDN,SDN,20210208
0.124086,0.007477,1949.0,Sweden,SWE,SWE,20210208
0.199071,0.012904,968.0,Switzerland,CHE,CHE,20210208
0.095693,0.004967,3495.0,Taiwan,TWN,TWN,20210208
0.165295,0.033693,129.0,Tanzania,TZA,TZA,20210208
0.079891,0.005653,2318.0,Thailand,THA,THA,20210208
0.158417,0.014234,652.0,Tunisia,TUN,TUN,20210208
0.161086,0.007717,2296.0,Turkey,TUR,TUR,20210208
0.186869,0.007399,2801.0,Ukraine,UKR,UKR,20210208
0.095317,0.019335,239.0,United Arab Emirates,ARE,ARE,20210208
0.139055,0.008449,1674.0,United Kingdom,GBR,GBR,20210208
0.09511,0.010285,779.0,Uruguay,URY,URY,20210208
0.196237,0.031414,179.0,Uzbekistan,UZB,UZB,20210208
0.088304,0.008796,1052.0,Venezuela,VEN,VEN,20210208
0.067184,0.003798,4356.0,Vietnam,VNM,VNM,20210208
0.346161,0.045627,109.0,Yemen,YEM,YEM,20210208
0.147051,0.028908,171.0,Afghanistan,AFG,AFG,20210209
0.195238,0.02805,185.0,Albania,ALB,ALB,20210209
0.223814,0.013645,942.0,Algeria,DZA,DZA,20210209
0.081634,0.023232,119.0,Angola,AGO,AGO,20210209
