percent_hf,hf_se,percent_hf_unw,hf_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.730406,0.02207,0.733831,0.02216,402.0,Paraguay,PRY,PRY,20200505
0.779198,0.008773,0.805801,0.009199,2034.0,Peru,PER,PER,20200505
0.682341,0.009995,0.701478,0.010169,2097.0,Philippines,PHL,PHL,20200505
0.562573,0.00896,0.578151,0.009,3039.0,Poland,POL,POL,20200505
0.55057,0.009964,0.580277,0.010044,2454.0,Portugal,PRT,PRT,20200505
0.630659,0.015257,0.661475,0.01556,963.0,"Puerto Rico, U.S.",PRI,PRI,20200505
0.495992,0.037156,0.510989,0.037164,182.0,Qatar,QAT,QAT,20200505
0.434913,0.008586,0.468482,0.00853,3379.0,Romania,ROU,ROU,20200505
0.675527,0.01124,0.646052,0.011005,1811.0,Russia,RUS,RUS,20200505
0.595514,0.018342,0.595537,0.018342,717.0,Saudi Arabia,SAU,SAU,20200505
0.448894,0.019642,0.497689,0.019539,649.0,Serbia,SRB,SRB,20200505
0.339397,0.03477,0.385787,0.033822,197.0,Singapore,SGP,SGP,20200505
0.416544,0.018836,0.444763,0.018687,697.0,Slovakia,SVK,SVK,20200505
0.320699,0.025574,0.371508,0.024703,358.0,Slovenia,SVN,SVN,20200505
0.641614,0.010371,0.636913,0.010342,2151.0,South Africa,ZAF,ZAF,20200505
0.464053,0.015906,0.44683,0.015955,978.0,South Korea,KOR,KOR,20200505
0.507365,0.007608,0.556624,0.007656,4265.0,Spain,ESP,ESP,20200505
0.503987,0.027179,0.532544,0.027236,338.0,Sri Lanka,LKA,LKA,20200505
0.582012,0.03283,0.598214,0.033029,224.0,Sudan,SDN,SDN,20200505
0.204345,0.007222,0.215366,0.007084,3241.0,Sweden,SWE,SWE,20200505
0.286569,0.014015,0.296992,0.013868,1064.0,Switzerland,CHE,CHE,20200505
0.305917,0.009147,0.312037,0.009097,2567.0,Taiwan,TWN,TWN,20200505
0.629053,0.008725,0.645279,0.008809,3008.0,Thailand,THA,THA,20200505
0.550073,0.020704,0.537005,0.020657,581.0,Tunisia,TUN,TUN,20200505
0.626516,0.00895,0.616114,0.008902,2954.0,Turkey,TUR,TUR,20200505
0.731284,0.007678,0.778919,0.008202,2922.0,Ukraine,UKR,UKR,20200505
0.570954,0.018519,0.601429,0.01872,700.0,United Arab Emirates,ARE,ARE,20200505
0.302897,0.008361,0.347612,0.008068,3245.0,United Kingdom,GBR,GBR,20200505
0.604557,0.016828,0.64365,0.01718,811.0,Uruguay,URY,URY,20200505
0.566595,0.035384,0.576531,0.035487,196.0,Uzbekistan,UZB,UZB,20200505
0.880978,0.01321,0.888889,0.013611,567.0,Venezuela,VEN,VEN,20200505
0.515541,0.009062,0.581646,0.009181,2964.0,Vietnam,VNM,VNM,20200505
0.570901,0.048236,0.575472,0.048302,106.0,Yemen,YEM,YEM,20200505
0.560223,0.045438,0.579832,0.045694,119.0,Afghanistan,AFG,AFG,20200506
0.610158,0.034306,0.692308,0.036252,182.0,Albania,ALB,ALB,20200506
0.36914,0.017627,0.407455,0.017312,778.0,Algeria,DZA,DZA,20200506
0.744277,0.035054,0.728395,0.034383,162.0,Angola,AGO,AGO,20200506
0.743162,0.006233,0.751978,0.006305,4802.0,Argentina,ARG,ARG,20200506
0.690839,0.041352,0.644444,0.039923,135.0,Armenia,ARM,ARM,20200506
0.285856,0.011005,0.306773,0.010782,1757.0,Australia,AUS,AUS,20200506
