smoothed_pct_hes_religious,smoothed_hes_religious_se,sample_size,country,iso_code,gid_0,survey_date
0.007505,0.003589,592.0,Denmark,DNK,DNK,20210208
0.022654,0.00677,465.0,Dominican Republic,DOM,DOM,20210208
0.01568,0.003526,1217.0,Ecuador,ECU,ECU,20210208
0.013841,0.003015,1515.0,Egypt,EGY,EGY,20210208
0.006981,0.003453,554.0,El Salvador,SLV,SLV,20210208
0.147934,0.030033,148.0,Ethiopia,ETH,ETH,20210208
0.005368,0.004415,249.0,Finland,FIN,FIN,20210208
0.004806,0.000849,6632.0,France,FRA,FRA,20210208
0.013679,0.001641,5042.0,Germany,DEU,DEU,20210208
0.01686,0.005963,460.0,Ghana,GHA,GHA,20210208
0.010527,0.002964,1196.0,Greece,GRC,GRC,20210208
0.039544,0.009432,451.0,Guatemala,GTM,GTM,20210208
0.027959,0.008043,456.0,Honduras,HND,HND,20210208
0.005318,0.004267,325.0,Hong Kong,HKG,HKG,20210208
0.015148,0.002967,1719.0,Hungary,HUN,HUN,20210208
0.009773,0.001542,4114.0,India,IND,IND,20210208
0.03938,0.003912,2492.0,Indonesia,IDN,IDN,20210208
0.024167,0.005899,760.0,Iraq,IRQ,IRQ,20210208
0.014431,0.006035,395.0,Ireland,IRL,IRL,20210208
0.035719,0.009581,379.0,Israel,ISR,ISR,20210208
0.005642,0.001196,3925.0,Italy,ITA,ITA,20210208
0.002086,0.000368,15469.0,Japan,JPN,JPN,20210208
0.007953,0.004169,422.0,Jordan,JOR,JOR,20210208
0.004022,0.003584,334.0,Kazakhstan,KAZ,KAZ,20210208
0.020498,0.006476,469.0,Kenya,KEN,KEN,20210208
0.0,0.0,122.0,Kuwait,KWT,KWT,20210208
0.017105,0.011282,118.0,Kyrgyzstan,KGZ,KGZ,20210208
0.014842,0.006844,325.0,Lebanon,LBN,LBN,20210208
0.024062,0.00981,277.0,Libya,LBY,LBY,20210208
0.023662,0.004485,1149.0,Malaysia,MYS,MYS,20210208
0.008561,0.00106,7548.0,Mexico,MEX,MEX,20210208
0.01396,0.008726,184.0,Moldova,MDA,MDA,20210208
0.008297,0.005408,303.0,Morocco,MAR,MAR,20210208
0.029845,0.011788,209.0,Mozambique,MOZ,MOZ,20210208
0.00328,0.003129,339.0,Nepal,NPL,NPL,20210208
0.035867,0.005057,1350.0,Netherlands,NLD,NLD,20210208
0.024012,0.005632,734.0,New Zealand,NZL,NZL,20210208
0.013818,0.007598,244.0,Nicaragua,NIC,NIC,20210208
0.032531,0.006201,818.0,Nigeria,NGA,NGA,20210208
0.012815,0.003781,807.0,Norway,NOR,NOR,20210208
0.028704,0.006511,658.0,Pakistan,PAK,PAK,20210208
0.006583,0.007071,165.0,Palestine,PSE,PSE,20210208
0.008889,0.006237,240.0,Panama,PAN,PAN,20210208
0.013708,0.006171,375.0,Paraguay,PRY,PRY,20210208
0.0195,0.003121,1980.0,Peru,PER,PER,20210208
0.022415,0.00303,2394.0,Philippines,PHL,PHL,20210208
0.013532,0.00284,1645.0,Poland,POL,POL,20210208
0.000708,0.000622,1802.0,Portugal,PRT,PRT,20210208
0.03245,0.008942,406.0,"Puerto Rico, U.S.",PRI,PRI,20210208
0.015588,0.00363,1171.0,Romania,ROU,ROU,20210208
0.011068,0.002177,2393.0,Russia,RUS,RUS,20210208
0.021332,0.006498,499.0,Saudi Arabia,SAU,SAU,20210208
0.018383,0.005461,605.0,Serbia,SRB,SRB,20210208
0.003577,0.00485,162.0,Singapore,SGP,SGP,20210208
0.017026,0.005081,639.0,Slovakia,SVK,SVK,20210208
0.024653,0.009004,300.0,Slovenia,SVN,SVN,20210208
0.068236,0.007044,1284.0,South Africa,ZAF,ZAF,20210208
0.006716,0.002721,921.0,South Korea,KOR,KOR,20210208
0.004882,0.001293,2933.0,Spain,ESP,ESP,20210208
0.011785,0.008589,164.0,Sri Lanka,LKA,LKA,20210208
0.02107,0.010112,216.0,Sudan,SDN,SDN,20210208
0.002437,0.001115,1949.0,Sweden,SWE,SWE,20210208
0.013244,0.003671,968.0,Switzerland,CHE,CHE,20210208
0.001392,0.000622,3495.0,Taiwan,TWN,TWN,20210208
0.075512,0.023941,129.0,Tanzania,TZA,TZA,20210208
0.007127,0.00176,2318.0,Thailand,THA,THA,20210208
0.004535,0.002693,652.0,Tunisia,TUN,TUN,20210208
0.009323,0.002012,2296.0,Turkey,TUR,TUR,20210208
0.013534,0.002181,2801.0,Ukraine,UKR,UKR,20210208
0.01197,0.006424,239.0,United Arab Emirates,ARE,ARE,20210208
0.020287,0.003447,1674.0,United Kingdom,GBR,GBR,20210208
0.010058,0.00359,779.0,Uruguay,URY,URY,20210208
0.015243,0.009522,179.0,Uzbekistan,UZB,UZB,20210208
0.008539,0.00284,1052.0,Venezuela,VEN,VEN,20210208
0.005314,0.0011,4356.0,Vietnam,VNM,VNM,20210208
0.009873,0.009447,109.0,Yemen,YEM,YEM,20210208
0.032196,0.014341,171.0,Afghanistan,AFG,AFG,20210209
0.037831,0.013274,185.0,Albania,ALB,ALB,20210209
0.023392,0.005056,942.0,Algeria,DZA,DZA,20210209
0.011333,0.010977,119.0,Angola,AGO,AGO,20210209
0.007614,0.001292,4516.0,Argentina,ARG,ARG,20210209
0.014439,0.002764,2366.0,Australia,AUS,AUS,20210209
0.030482,0.005371,1026.0,Austria,AUT,AUT,20210209
0.007579,0.006754,184.0,Azerbaijan,AZE,AZE,20210209
0.028605,0.005723,838.0,Bangladesh,BGD,BGD,20210209
0.006281,0.003446,569.0,Belarus,BLR,BLR,20210209
0.008376,0.00265,1153.0,Belgium,BEL,BEL,20210209
0.01651,0.003738,1183.0,Bolivia,BOL,BOL,20210209
0.036491,0.011638,294.0,Bosnia and Herzegovina,BIH,BIH,20210209
0.017333,0.001268,10605.0,Brazil,BRA,BRA,20210209
0.002924,0.00171,1059.0,Bulgaria,BGR,BGR,20210209
0.027916,0.013094,165.0,Cameroon,CMR,CMR,20210209
0.016916,0.002252,3246.0,Canada,CAN,CAN,20210209
0.019189,0.003306,1757.0,Chile,CHL,CHL,20210209
0.020375,0.002237,4033.0,Colombia,COL,COL,20210209
0.029997,0.008252,428.0,Costa Rica,CRI,CRI,20210209
0.050995,0.016642,199.0,C̫te d'Ivoire,CIV,CIV,20210209
0.017532,0.00536,594.0,Croatia,HRV,HRV,20210209
0.013328,0.002706,1796.0,Czech Republic,CZE,CZE,20210209
0.019557,0.013156,105.0,Democratic Republic of the Congo,COD,COD,20210209
0.008298,0.003296,769.0,Denmark,DNK,DNK,20210209
0.020817,0.005667,617.0,Dominican Republic,DOM,DOM,20210209
0.016805,0.003081,1712.0,Ecuador,ECU,ECU,20210209
0.013197,0.002564,2002.0,Egypt,EGY,EGY,20210209
0.015469,0.004592,736.0,El Salvador,SLV,SLV,20210209
0.157768,0.026095,206.0,Ethiopia,ETH,ETH,20210209
0.010331,0.00552,327.0,Finland,FIN,FIN,20210209
0.004807,0.00074,8754.0,France,FRA,FRA,20210209
0.01267,0.001379,6629.0,Germany,DEU,DEU,20210209
0.014637,0.004847,598.0,Ghana,GHA,GHA,20210209
0.010001,0.002523,1574.0,Greece,GRC,GRC,20210209
0.041125,0.008041,635.0,Guatemala,GTM,GTM,20210209
0.031038,0.007221,618.0,Honduras,HND,HND,20210209
0.003966,0.003182,438.0,Hong Kong,HKG,HKG,20210209
0.015761,0.002632,2268.0,Hungary,HUN,HUN,20210209
0.010129,0.001356,5494.0,India,IND,IND,20210209
0.038183,0.003346,3299.0,Indonesia,IDN,IDN,20210209
0.021153,0.004721,1020.0,Iraq,IRQ,IRQ,20210209
0.017904,0.005771,542.0,Ireland,IRL,IRL,20210209
0.028723,0.007529,494.0,Israel,ISR,ISR,20210209
0.004852,0.000962,5186.0,Italy,ITA,ITA,20210209
0.002083,0.000324,19945.0,Japan,JPN,JPN,20210209
0.008235,0.003626,592.0,Jordan,JOR,JOR,20210209
0.012578,0.005238,442.0,Kazakhstan,KAZ,KAZ,20210209
0.021087,0.00572,623.0,Kenya,KEN,KEN,20210209
0.003958,0.005383,161.0,Kuwait,KWT,KWT,20210209
0.021019,0.011231,158.0,Kyrgyzstan,KGZ,KGZ,20210209
0.015253,0.006059,423.0,Lebanon,LBN,LBN,20210209
0.029409,0.009171,368.0,Libya,LBY,LBY,20210209
0.025544,0.004065,1524.0,Malaysia,MYS,MYS,20210209
0.007932,0.000882,10175.0,Mexico,MEX,MEX,20210209
0.025594,0.009606,262.0,Moldova,MDA,MDA,20210209
0.011104,0.005471,392.0,Morocco,MAR,MAR,20210209
0.029144,0.010027,283.0,Mozambique,MOZ,MOZ,20210209
0.004648,0.003144,452.0,Nepal,NPL,NPL,20210209
0.030472,0.003965,1858.0,Netherlands,NLD,NLD,20210209
0.021223,0.004638,959.0,New Zealand,NZL,NZL,20210209
0.016963,0.00701,348.0,Nicaragua,NIC,NIC,20210209
0.035834,0.005574,1115.0,Nigeria,NGA,NGA,20210209
0.009385,0.002769,1093.0,Norway,NOR,NOR,20210209
0.030362,0.005816,870.0,Pakistan,PAK,PAK,20210209
0.012893,0.008207,221.0,Palestine,PSE,PSE,20210209
0.015281,0.007276,302.0,Panama,PAN,PAN,20210209
0.017575,0.006145,490.0,Paraguay,PRY,PRY,20210209
0.018569,0.002648,2620.0,Peru,PER,PER,20210209
0.023265,0.002676,3178.0,Philippines,PHL,PHL,20210209
0.012877,0.002414,2176.0,Poland,POL,POL,20210209
0.00056,0.000492,2387.0,Portugal,PRT,PRT,20210209
0.027072,0.00746,513.0,"Puerto Rico, U.S.",PRI,PRI,20210209
0.014787,0.011523,116.0,Qatar,QAT,QAT,20210209
0.018994,0.00342,1605.0,Romania,ROU,ROU,20210209
0.013703,0.002074,3173.0,Russia,RUS,RUS,20210209
0.019508,0.00558,637.0,Saudi Arabia,SAU,SAU,20210209
0.023958,0.005359,812.0,Serbia,SRB,SRB,20210209
0.002667,0.003616,221.0,Singapore,SGP,SGP,20210209
0.016888,0.004419,842.0,Slovakia,SVK,SVK,20210209
0.024757,0.007761,406.0,Slovenia,SVN,SVN,20210209
0.064669,0.005933,1724.0,South Africa,ZAF,ZAF,20210209
0.00517,0.002094,1195.0,South Korea,KOR,KOR,20210209
0.005338,0.001184,3828.0,Spain,ESP,ESP,20210209
0.011768,0.007341,225.0,Sri Lanka,LKA,LKA,20210209
0.043313,0.012669,282.0,Sudan,SDN,SDN,20210209
0.002867,0.001061,2590.0,Sweden,SWE,SWE,20210209
0.015507,0.003472,1260.0,Switzerland,CHE,CHE,20210209
0.001122,0.000484,4625.0,Taiwan,TWN,TWN,20210209
0.063831,0.019228,179.0,Tanzania,TZA,TZA,20210209
0.006292,0.00143,3072.0,Thailand,THA,THA,20210209
0.008375,0.003248,867.0,Tunisia,TUN,TUN,20210209
0.007898,0.001641,2922.0,Turkey,TUR,TUR,20210209
0.016067,0.002085,3670.0,Ukraine,UKR,UKR,20210209
0.008719,0.00468,321.0,United Arab Emirates,ARE,ARE,20210209
0.022563,0.003145,2212.0,United Kingdom,GBR,GBR,20210209
0.007589,0.002709,1033.0,Uruguay,URY,URY,20210209
0.012692,0.007928,235.0,Uzbekistan,UZB,UZB,20210209
0.008696,0.002489,1400.0,Venezuela,VEN,VEN,20210209
0.005055,0.000933,5753.0,Vietnam,VNM,VNM,20210209
0.010705,0.008657,141.0,Yemen,YEM,YEM,20210209
0.03402,0.013154,210.0,Afghanistan,AFG,AFG,20210210
0.034683,0.01165,224.0,Albania,ALB,ALB,20210210
0.018802,0.004018,1160.0,Algeria,DZA,DZA,20210210
0.010053,0.009051,147.0,Angola,AGO,AGO,20210210
0.007344,0.001139,5606.0,Argentina,ARG,ARG,20210210
0.015828,0.01202,107.0,Armenia,ARM,ARM,20210210
0.013066,0.002317,2916.0,Australia,AUS,AUS,20210210
0.027292,0.004546,1277.0,Austria,AUT,AUT,20210210
0.008824,0.00635,237.0,Azerbaijan,AZE,AZE,20210210
0.026256,0.004974,1036.0,Bangladesh,BGD,BGD,20210210
0.004616,0.002533,702.0,Belarus,BLR,BLR,20210210
0.007605,0.002266,1435.0,Belgium,BEL,BEL,20210210
0.022649,0.003826,1503.0,Bolivia,BOL,BOL,20210210
0.047874,0.011825,353.0,Bosnia and Herzegovina,BIH,BIH,20210210
0.017722,0.001155,13048.0,Brazil,BRA,BRA,20210210
0.007311,0.002332,1337.0,Bulgaria,BGR,BGR,20210210
0.022779,0.010684,206.0,Cameroon,CMR,CMR,20210210
0.016189,0.00198,4056.0,Canada,CAN,CAN,20210210
0.015937,0.002745,2159.0,Chile,CHL,CHL,20210210
0.020568,0.002018,5003.0,Colombia,COL,COL,20210210
0.029435,0.007284,541.0,Costa Rica,CRI,CRI,20210210
0.043668,0.014251,245.0,C̫te d'Ivoire,CIV,CIV,20210210
0.014765,0.004376,751.0,Croatia,HRV,HRV,20210210
0.01263,0.002351,2265.0,Czech Republic,CZE,CZE,20210210
