smoothed_trust_govt,smoothed_trust_govt_se,sample_size,country,iso_code,gid_0,survey_date
0.530347,0.016188,946.0,El Salvador,SLV,SLV,20201223
0.611868,0.037567,171.0,Ethiopia,ETH,ETH,20201223
0.502593,0.017932,784.0,Finland,FIN,FIN,20201223
0.298267,0.005192,7794.0,France,FRA,FRA,20201223
0.344037,0.004773,9910.0,Germany,DEU,DEU,20201223
0.458028,0.026432,361.0,Ghana,GHA,GHA,20201223
0.324647,0.012674,1386.0,Greece,GRC,GRC,20201223
0.531869,0.016454,922.0,Guatemala,GTM,GTM,20201223
0.366244,0.020356,568.0,Honduras,HND,HND,20201223
0.338861,0.018457,663.0,Hong Kong,HKG,HKG,20201223
0.160548,0.006793,2906.0,Hungary,HUN,HUN,20201223
0.622963,0.005093,9063.0,India,IND,IND,20201223
0.379488,0.007141,4620.0,Indonesia,IDN,IDN,20201223
0.337027,0.014253,1100.0,Iraq,IRQ,IRQ,20201223
0.425371,0.013876,1276.0,Ireland,IRL,IRL,20201223
0.397794,0.011826,1792.0,Israel,ISR,ISR,20201223
0.395574,0.005239,8765.0,Italy,ITA,ITA,20201223
0.4688,0.003728,17918.0,Japan,JPN,JPN,20201223
0.304971,0.016687,767.0,Jordan,JOR,JOR,20201223
0.170397,0.021836,300.0,Kazakhstan,KAZ,KAZ,20201223
0.548607,0.016887,867.0,Kenya,KEN,KEN,20201223
0.421072,0.033237,218.0,Kuwait,KWT,KWT,20201223
0.285931,0.041448,121.0,Kyrgyzstan,KGZ,KGZ,20201223
0.286792,0.024243,354.0,Lebanon,LBN,LBN,20201223
0.454688,0.02462,411.0,Libya,LBY,LBY,20201223
0.568232,0.011885,1739.0,Malaysia,MYS,MYS,20201223
0.55192,0.003403,21352.0,Mexico,MEX,MEX,20201223
0.169393,0.023932,247.0,Moldova,MDA,MDA,20201223
0.42551,0.02138,533.0,Morocco,MAR,MAR,20201223
0.728969,0.016749,705.0,Myanmar,MMR,MMR,20201223
0.54611,0.020306,590.0,Nepal,NPL,NPL,20201223
0.283128,0.007447,3703.0,Netherlands,NLD,NLD,20201223
0.488515,0.01441,1199.0,New Zealand,NZL,NZL,20201223
0.394311,0.021667,512.0,Nicaragua,NIC,NIC,20201223
0.509814,0.014635,1171.0,Nigeria,NGA,NGA,20201223
0.547879,0.010515,2243.0,Norway,NOR,NOR,20201223
0.557047,0.048699,107.0,Oman,OMN,OMN,20201223
0.559828,0.012198,1659.0,Pakistan,PAK,PAK,20201223
0.331394,0.026816,326.0,Palestine,PSE,PSE,20201223
0.485406,0.020357,605.0,Panama,PAN,PAN,20201223
0.395502,0.022223,496.0,Paraguay,PRY,PRY,20201223
0.46352,0.011278,1965.0,Peru,PER,PER,20201223
0.423734,0.00927,2847.0,Philippines,PHL,PHL,20201223
0.238631,0.008262,2670.0,Poland,POL,POL,20201223
0.503452,0.010265,2423.0,Portugal,PRT,PRT,20201223
0.587146,0.014379,1193.0,"Puerto Rico, U.S.",PRI,PRI,20201223
0.589053,0.039791,185.0,Qatar,QAT,QAT,20201223
0.282295,0.009593,2204.0,Romania,ROU,ROU,20201223
0.18509,0.007452,2729.0,Russia,RUS,RUS,20201223
0.539142,0.016624,904.0,Saudi Arabia,SAU,SAU,20201223
0.21221,0.013992,863.0,Serbia,SRB,SRB,20201223
0.549743,0.024114,429.0,Singapore,SGP,SGP,20201223
0.269615,0.013335,1096.0,Slovakia,SVK,SVK,20201223
0.21524,0.020627,398.0,Slovenia,SVN,SVN,20201223
0.385408,0.009267,2766.0,South Africa,ZAF,ZAF,20201223
