smoothed_trust_healthcare,smoothed_trust_healthcare_se,sample_size,country,iso_code,gid_0,survey_date
0.376073,0.008717,3090.0,Czech Republic,CZE,CZE,20201225
0.188401,0.039017,102.0,Democratic Republic of the Congo,COD,COD,20201225
0.481296,0.007139,4939.0,Denmark,DNK,DNK,20201225
0.449582,0.013702,1323.0,Dominican Republic,DOM,DOM,20201225
0.50764,0.008416,3542.0,Ecuador,ECU,ECU,20201225
0.43103,0.006094,6621.0,Egypt,EGY,EGY,20201225
0.566326,0.012336,1625.0,El Salvador,SLV,SLV,20201225
0.589918,0.029287,287.0,Ethiopia,ETH,ETH,20201225
0.551344,0.013082,1464.0,Finland,FIN,FIN,20201225
0.416695,0.004212,13705.0,France,FRA,FRA,20201225
0.390418,0.003664,17751.0,Germany,DEU,DEU,20201225
0.435489,0.020044,620.0,Ghana,GHA,GHA,20201225
0.479367,0.009991,2524.0,Greece,GRC,GRC,20201225
0.552799,0.012827,1517.0,Guatemala,GTM,GTM,20201225
0.332816,0.046048,103.0,Haiti,HTI,HTI,20201225
0.529618,0.015437,1033.0,Honduras,HND,HND,20201225
0.471335,0.014706,1162.0,Hong Kong,HKG,HKG,20201225
0.350312,0.006441,5490.0,Hungary,HUN,HUN,20201225
0.550858,0.003939,15959.0,India,IND,IND,20201225
0.374752,0.005265,8468.0,Indonesia,IDN,IDN,20201225
0.430359,0.011079,2042.0,Iraq,IRQ,IRQ,20201225
0.531352,0.010788,2149.0,Ireland,IRL,IRL,20201225
0.471314,0.008865,3267.0,Israel,ISR,ISR,20201225
0.603156,0.003837,16338.0,Italy,ITA,ITA,20201225
0.577802,0.002741,32466.0,Japan,JPN,JPN,20201225
0.334897,0.012457,1448.0,Jordan,JOR,JOR,20201225
0.176652,0.01675,524.0,Kazakhstan,KAZ,KAZ,20201225
0.580363,0.012728,1507.0,Kenya,KEN,KEN,20201225
0.505396,0.026201,369.0,Kuwait,KWT,KWT,20201225
0.333249,0.033731,211.0,Kyrgyzstan,KGZ,KGZ,20201225
0.467781,0.041389,144.0,Laos,LAO,LAO,20201225
0.392899,0.01952,625.0,Lebanon,LBN,LBN,20201225
0.536572,0.017283,845.0,Libya,LBY,LBY,20201225
0.51804,0.009104,3018.0,Malaysia,MYS,MYS,20201225
0.529203,0.042212,149.0,Mali,MLI,MLI,20201225
0.649565,0.002522,35752.0,Mexico,MEX,MEX,20201225
0.312153,0.021078,478.0,Moldova,MDA,MDA,20201225
0.461295,0.015895,993.0,Morocco,MAR,MAR,20201225
0.599177,0.038944,159.0,Mozambique,MOZ,MOZ,20201225
0.657027,0.01333,1271.0,Myanmar,MMR,MMR,20201225
0.574718,0.015273,1060.0,Nepal,NPL,NPL,20201225
0.296316,0.005625,6683.0,Netherlands,NLD,NLD,20201225
0.517551,0.011134,2019.0,New Zealand,NZL,NZL,20201225
0.526845,0.017238,841.0,Nicaragua,NIC,NIC,20201225
0.461199,0.010911,2082.0,Nigeria,NGA,NGA,20201225
