smoothed_pct_hes_sideeffects,smoothed_hes_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.569849,0.015417,1033.0,Uruguay,URY,URY,20210209
0.474968,0.034205,235.0,Uzbekistan,UZB,UZB,20210209
0.600129,0.01314,1400.0,Venezuela,VEN,VEN,20210209
0.393564,0.006445,5753.0,Vietnam,VNM,VNM,20210209
0.415082,0.041754,141.0,Yemen,YEM,YEM,20210209
0.459656,0.035255,210.0,Afghanistan,AFG,AFG,20210210
0.40133,0.033278,224.0,Albania,ALB,ALB,20210210
0.492425,0.014786,1160.0,Algeria,DZA,DZA,20210210
0.560736,0.042044,147.0,Angola,AGO,AGO,20210210
0.48884,0.006678,5606.0,Argentina,ARG,ARG,20210210
0.486768,0.047656,107.0,Armenia,ARM,ARM,20210210
0.551298,0.010157,2916.0,Australia,AUS,AUS,20210210
0.494257,0.014036,1277.0,Austria,AUT,AUT,20210210
0.49326,0.033062,237.0,Azerbaijan,AZE,AZE,20210210
0.394637,0.015343,1036.0,Bangladesh,BGD,BGD,20210210
0.497597,0.019378,702.0,Belarus,BLR,BLR,20210210
0.566465,0.0131,1435.0,Belgium,BEL,BEL,20210210
0.525677,0.012935,1503.0,Bolivia,BOL,BOL,20210210
0.463777,0.027303,353.0,Bosnia and Herzegovina,BIH,BIH,20210210
0.49796,0.004382,13048.0,Brazil,BRA,BRA,20210210
0.446753,0.013665,1337.0,Bulgaria,BGR,BGR,20210210
0.547591,0.033735,206.0,Cameroon,CMR,CMR,20210210
0.554786,0.007818,4056.0,Canada,CAN,CAN,20210210
0.604061,0.010559,2159.0,Chile,CHL,CHL,20210210
0.627657,0.006841,5003.0,Colombia,COL,COL,20210210
0.565157,0.021324,541.0,Costa Rica,CRI,CRI,20210210
0.530296,0.032381,245.0,C̫te d'Ivoire,CIV,CIV,20210210
0.490229,0.018287,751.0,Croatia,HRV,HRV,20210210
0.447821,0.010456,2265.0,Czech Republic,CZE,CZE,20210210
0.488302,0.043547,130.0,Democratic Republic of the Congo,COD,COD,20210210
0.522213,0.016088,969.0,Denmark,DNK,DNK,20210210
0.589614,0.017492,794.0,Dominican Republic,DOM,DOM,20210210
0.589981,0.01073,2133.0,Ecuador,ECU,ECU,20210210
0.555542,0.009906,2515.0,Egypt,EGY,EGY,20210210
0.621853,0.016054,924.0,El Salvador,SLV,SLV,20210210
0.46915,0.032234,248.0,Ethiopia,ETH,ETH,20210210
0.558032,0.024606,411.0,Finland,FIN,FIN,20210210
0.519094,0.004797,10856.0,France,FRA,FRA,20210210
0.530082,0.0055,8251.0,Germany,DEU,DEU,20210210
0.607229,0.017955,759.0,Ghana,GHA,GHA,20210210
0.535258,0.011358,1941.0,Greece,GRC,GRC,20210210
0.540414,0.017671,800.0,Guatemala,GTM,GTM,20210210
0.61617,0.049188,107.0,Haiti,HTI,HTI,20210210
0.633217,0.017555,766.0,Honduras,HND,HND,20210210
0.617987,0.020846,549.0,Hong Kong,HKG,HKG,20210210
0.501986,0.009374,2857.0,Hungary,HUN,HUN,20210210
0.344634,0.005748,6842.0,India,IND,IND,20210210
0.479077,0.007775,4131.0,Indonesia,IDN,IDN,20210210
0.50594,0.014281,1250.0,Iraq,IRQ,IRQ,20210210
0.589256,0.019211,654.0,Ireland,IRL,IRL,20210210
0.524947,0.02037,601.0,Israel,ISR,ISR,20210210
0.46172,0.006199,6474.0,Italy,ITA,ITA,20210210
0.599819,0.003112,24837.0,Japan,JPN,JPN,20210210
0.481343,0.018467,750.0,Jordan,JOR,JOR,20210210
0.485804,0.021657,549.0,Kazakhstan,KAZ,KAZ,20210210
0.560131,0.017645,795.0,Kenya,KEN,KEN,20210210
0.513994,0.036644,194.0,Kuwait,KWT,KWT,20210210
0.351835,0.03406,195.0,Kyrgyzstan,KGZ,KGZ,20210210
0.563265,0.021778,524.0,Lebanon,LBN,LBN,20210210
0.463386,0.023602,455.0,Libya,LBY,LBY,20210210
0.55309,0.011421,1899.0,Malaysia,MYS,MYS,20210210
0.638203,0.047407,105.0,Mali,MLI,MLI,20210210
0.572157,0.004368,12831.0,Mexico,MEX,MEX,20210210
0.519498,0.027544,331.0,Moldova,MDA,MDA,20210210
0.519928,0.022974,478.0,Morocco,MAR,MAR,20210210
0.530987,0.026591,355.0,Mozambique,MOZ,MOZ,20210210
0.388442,0.04627,102.0,Myanmar,MMR,MMR,20210210
0.335875,0.0199,578.0,Nepal,NPL,NPL,20210210
0.469341,0.010334,2342.0,Netherlands,NLD,NLD,20210210
0.498247,0.014537,1188.0,New Zealand,NZL,NZL,20210210
0.573653,0.023773,434.0,Nicaragua,NIC,NIC,20210210
0.513536,0.013369,1389.0,Nigeria,NGA,NGA,20210210
0.560298,0.013361,1384.0,Norway,NOR,NOR,20210210
