smoothed_sideeffects,smoothed_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.624165,0.005353,8186.0,Thailand,THA,THA,20210116
0.683934,0.012941,1280.0,Tunisia,TUN,TUN,20210116
0.688358,0.006694,4790.0,Turkey,TUR,TUR,20210116
0.761681,0.005986,5068.0,Ukraine,UKR,UKR,20210116
0.57672,0.015363,1037.0,United Arab Emirates,ARE,ARE,20210116
0.32194,0.004579,10418.0,United Kingdom,GBR,GBR,20210116
0.711978,0.010223,1963.0,Uruguay,URY,URY,20210116
0.696633,0.029316,249.0,Uzbekistan,UZB,UZB,20210116
0.765806,0.008911,2283.0,Venezuela,VEN,VEN,20210116
0.451381,0.007511,4394.0,Vietnam,VNM,VNM,20210116
0.452531,0.036462,190.0,Yemen,YEM,YEM,20210116
0.581082,0.024056,417.0,Afghanistan,AFG,AFG,20210117
0.564595,0.029328,293.0,Albania,ALB,ALB,20210117
0.604672,0.013077,1401.0,Algeria,DZA,DZA,20210117
0.736548,0.030556,204.0,Angola,AGO,AGO,20210117
0.636536,0.0046,10961.0,Argentina,ARG,ARG,20210117
0.612384,0.040629,147.0,Armenia,ARM,ARM,20210117
0.487099,0.006042,6898.0,Australia,AUS,AUS,20210117
0.374171,0.007991,3765.0,Austria,AUT,AUT,20210117
0.768677,0.022351,354.0,Azerbaijan,AZE,AZE,20210117
0.603305,0.012216,1609.0,Bangladesh,BGD,BGD,20210117
0.804331,0.012187,1067.0,Belarus,BLR,BLR,20210117
0.400358,0.008426,3446.0,Belgium,BEL,BEL,20210117
0.617646,0.045958,114.0,Benin,BEN,BEN,20210117
0.730537,0.008005,3130.0,Bolivia,BOL,BOL,20210117
0.494657,0.021337,585.0,Bosnia and Herzegovina,BIH,BIH,20210117
0.462544,0.00207,58012.0,Brazil,BRA,BRA,20210117
0.545649,0.010978,2083.0,Bulgaria,BGR,BGR,20210117
0.617121,0.040041,140.0,Burkina Faso,BFA,BFA,20210117
0.658535,0.03419,193.0,Cambodia,KHM,KHM,20210117
0.73462,0.033417,176.0,Cameroon,CMR,CMR,20210117
0.413871,0.004596,11512.0,Canada,CAN,CAN,20210117
0.696604,0.006117,5648.0,Chile,CHL,CHL,20210117
0.714854,0.004207,11485.0,Colombia,COL,COL,20210117
0.526655,0.011675,1886.0,Costa Rica,CRI,CRI,20210117
0.614665,0.02574,365.0,C̫te d'Ivoire,CIV,CIV,20210117
0.447284,0.012567,1572.0,Croatia,HRV,HRV,20210117
0.279362,0.006987,4128.0,Czech Republic,CZE,CZE,20210117
0.69842,0.037081,158.0,Democratic Republic of the Congo,COD,COD,20210117
0.30466,0.00582,6266.0,Denmark,DNK,DNK,20210117
0.745775,0.010998,1573.0,Dominican Republic,DOM,DOM,20210117
0.758527,0.007027,3720.0,Ecuador,ECU,ECU,20210117
0.709416,0.006536,4825.0,Egypt,EGY,EGY,20210117
0.716171,0.01083,1744.0,El Salvador,SLV,SLV,20210117
0.647793,0.026175,336.0,Ethiopia,ETH,ETH,20210117
0.319198,0.012116,1504.0,Finland,FIN,FIN,20210117
0.477898,0.003591,19365.0,France,FRA,FRA,20210117
0.381574,0.0033,21682.0,Germany,DEU,DEU,20210117
0.830243,0.014804,645.0,Ghana,GHA,GHA,20210117
0.441761,0.008983,3085.0,Greece,GRC,GRC,20210117
0.711499,0.011506,1556.0,Guatemala,GTM,GTM,20210117
0.671133,0.039362,148.0,Haiti,HTI,HTI,20210117
0.731554,0.012031,1368.0,Honduras,HND,HND,20210117
0.614189,0.017031,824.0,Hong Kong,HKG,HKG,20210117
0.424082,0.005879,7092.0,Hungary,HUN,HUN,20210117
0.516252,0.004941,10224.0,India,IND,IND,20210117
0.543715,0.005402,8503.0,Indonesia,IDN,IDN,20210117
0.558752,0.011334,1929.0,Iraq,IRQ,IRQ,20210117
0.436365,0.008365,3663.0,Ireland,IRL,IRL,20210117
0.409995,0.007523,4303.0,Israel,ISR,ISR,20210117
0.478063,0.003389,21738.0,Italy,ITA,ITA,20210117
0.840189,0.001859,38914.0,Japan,JPN,JPN,20210117
0.625596,0.013701,1286.0,Jordan,JOR,JOR,20210117
0.720183,0.01763,652.0,Kazakhstan,KAZ,KAZ,20210117
0.774456,0.010842,1486.0,Kenya,KEN,KEN,20210117
0.498756,0.030278,282.0,Kuwait,KWT,KWT,20210117
0.661921,0.030189,244.0,Kyrgyzstan,KGZ,KGZ,20210117
0.508436,0.045648,117.0,Laos,LAO,LAO,20210117
0.670473,0.014329,1130.0,Lebanon,LBN,LBN,20210117
0.596035,0.016914,850.0,Libya,LBY,LBY,20210117
0.763899,0.006358,4475.0,Malaysia,MYS,MYS,20210117
0.52794,0.038119,175.0,Mali,MLI,MLI,20210117
0.640218,0.002422,39284.0,Mexico,MEX,MEX,20210117
0.724063,0.020553,476.0,Moldova,MDA,MDA,20210117
0.566767,0.016776,875.0,Morocco,MAR,MAR,20210117
0.864,0.016891,414.0,Mozambique,MOZ,MOZ,20210117
0.516839,0.014343,1226.0,Myanmar,MMR,MMR,20210117
0.631351,0.015482,975.0,Nepal,NPL,NPL,20210117
0.307245,0.00496,8660.0,Netherlands,NLD,NLD,20210117
0.489017,0.009944,2540.0,New Zealand,NZL,NZL,20210117
0.715928,0.014528,961.0,Nicaragua,NIC,NIC,20210117
0.754327,0.008673,2460.0,Nigeria,NGA,NGA,20210117
0.263981,0.005998,5410.0,Norway,NOR,NOR,20210117
0.545187,0.039514,160.0,Oman,OMN,OMN,20210117
0.574132,0.010939,2046.0,Pakistan,PAK,PAK,20210117
0.600257,0.02229,505.0,Palestine,PSE,PSE,20210117
0.683005,0.014548,1035.0,Panama,PAN,PAN,20210117
0.615365,0.015681,962.0,Paraguay,PRY,PRY,20210117
0.706948,0.006525,4886.0,Peru,PER,PER,20210117
0.826414,0.004738,6403.0,Philippines,PHL,PHL,20210117
0.498092,0.006171,6570.0,Poland,POL,POL,20210117
0.659496,0.00534,7903.0,Portugal,PRT,PRT,20210117
0.601882,0.010533,2168.0,"Puerto Rico, U.S.",PRI,PRI,20210117
0.554138,0.032119,244.0,Qatar,QAT,QAT,20210117
0.493554,0.00668,5612.0,Romania,ROU,ROU,20210117
0.704373,0.006001,5791.0,Russia,RUS,RUS,20210117
0.546657,0.014004,1258.0,Saudi Arabia,SAU,SAU,20210117
0.698342,0.034788,176.0,Senegal,SEN,SEN,20210117
0.509643,0.011173,2000.0,Serbia,SRB,SRB,20210117
0.614652,0.018285,723.0,Singapore,SGP,SGP,20210117
0.286652,0.008864,2600.0,Slovakia,SVK,SVK,20210117
0.510237,0.015318,1069.0,Slovenia,SVN,SVN,20210117
0.723215,0.00657,4639.0,South Africa,ZAF,ZAF,20210117
0.639123,0.008713,3045.0,South Korea,KOR,KOR,20210117
0.553181,0.004195,14052.0,Spain,ESP,ESP,20210117
0.721291,0.01955,532.0,Sri Lanka,LKA,LKA,20210117
0.613332,0.017704,756.0,Sudan,SDN,SDN,20210117
0.374521,0.004203,13288.0,Sweden,SWE,SWE,20210117
0.441133,0.008856,3182.0,Switzerland,CHE,CHE,20210117
0.589002,0.005488,8036.0,Taiwan,TWN,TWN,20210117
0.713354,0.034382,171.0,Tanzania,TZA,TZA,20210117
0.629644,0.004694,10582.0,Thailand,THA,THA,20210117
0.687742,0.011248,1688.0,Tunisia,TUN,TUN,20210117
0.68955,0.005754,6487.0,Turkey,TUR,TUR,20210117
0.768009,0.005131,6764.0,Ukraine,UKR,UKR,20210117
0.580756,0.013301,1389.0,United Arab Emirates,ARE,ARE,20210117
0.322854,0.003937,14117.0,United Kingdom,GBR,GBR,20210117
0.713593,0.008795,2644.0,Uruguay,URY,URY,20210117
0.676764,0.025047,351.0,Uzbekistan,UZB,UZB,20210117
0.768116,0.007699,3036.0,Venezuela,VEN,VEN,20210117
0.457905,0.00647,5946.0,Vietnam,VNM,VNM,20210117
0.490869,0.030909,263.0,Yemen,YEM,YEM,20210117
0.587977,0.021285,532.0,Afghanistan,AFG,AFG,20210118
0.577021,0.026484,358.0,Albania,ALB,ALB,20210118
0.599243,0.011752,1744.0,Algeria,DZA,DZA,20210118
0.740017,0.026267,276.0,Angola,AGO,AGO,20210118
0.640163,0.004091,13791.0,Argentina,ARG,ARG,20210118
0.602361,0.036007,189.0,Armenia,ARM,ARM,20210118
0.488286,0.005428,8566.0,Australia,AUS,AUS,20210118
0.375611,0.007124,4727.0,Austria,AUT,AUT,20210118
