pct_trust_doctors,trust_doctors_se,pct_trust_doctors_unw,trust_doctors_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.695207,0.011476,0.73302,0.011941,1487.0,Taiwan,TWN,TWN,20210207
0.584467,0.014595,0.60071,0.014686,1127.0,Thailand,THA,THA,20210207
0.480542,0.03037,0.507353,0.03035,272.0,Tunisia,TUN,TUN,20210207
0.53318,0.014731,0.546807,0.014763,1143.0,Turkey,TUR,TUR,20210207
0.325816,0.014882,0.34476,0.014675,1021.0,Ukraine,UKR,UKR,20210207
0.461341,0.044577,0.56,0.044767,125.0,United Arab Emirates,ARE,ARE,20210207
0.63104,0.010537,0.634753,0.01056,2089.0,United Kingdom,GBR,GBR,20210207
0.655711,0.025824,0.643478,0.025618,345.0,Uruguay,URY,URY,20210207
0.715463,0.019929,0.732794,0.020321,494.0,Venezuela,VEN,VEN,20210207
0.626999,0.01002,0.624305,0.010006,2337.0,Vietnam,VNM,VNM,20210207
0.480383,0.033584,0.472973,0.033608,222.0,Algeria,DZA,DZA,20210208
0.70834,0.009964,0.722415,0.010113,2021.0,Argentina,ARG,ARG,20210208
0.637523,0.014272,0.634211,0.014244,1140.0,Australia,AUS,AUS,20210208
0.461559,0.021546,0.48423,0.021493,539.0,Austria,AUT,AUT,20210208
0.591482,0.027512,0.607595,0.027696,316.0,Bangladesh,BGD,BGD,20210208
0.460823,0.040484,0.375,0.041684,144.0,Belarus,BLR,BLR,20210208
0.550032,0.02056,0.572414,0.020675,580.0,Belgium,BEL,BEL,20210208
0.660654,0.021534,0.704444,0.022345,450.0,Bolivia,BOL,BOL,20210208
0.793654,0.004579,0.797404,0.004611,7705.0,Brazil,BRA,BRA,20210208
0.533969,0.02595,0.569863,0.026147,365.0,Bulgaria,BGR,BGR,20210208
0.612336,0.011134,0.618697,0.011169,1904.0,Canada,CAN,CAN,20210208
0.71486,0.014344,0.718496,0.0144,984.0,Chile,CHL,CHL,20210208
0.694772,0.010725,0.71085,0.010894,1788.0,Colombia,COL,COL,20210208
0.798703,0.025358,0.779851,0.024539,268.0,Costa Rica,CRI,CRI,20210208
0.435252,0.03432,0.438095,0.034295,210.0,Croatia,HRV,HRV,20210208
0.482652,0.018979,0.496403,0.018968,695.0,Czech Republic,CZE,CZE,20210208
0.587859,0.017003,0.57565,0.016933,846.0,Denmark,DNK,DNK,20210208
0.650229,0.033275,0.644231,0.033147,208.0,Dominican Republic,DOM,DOM,20210208
0.669962,0.018127,0.689127,0.018415,653.0,Ecuador,ECU,ECU,20210208
0.528555,0.020101,0.533225,0.020113,617.0,Egypt,EGY,EGY,20210208
0.746806,0.025956,0.707792,0.024818,308.0,El Salvador,SLV,SLV,20210208
0.626921,0.030113,0.623077,0.030051,260.0,Finland,FIN,FIN,20210208
0.484599,0.008693,0.4932,0.008689,3309.0,France,FRA,FRA,20210208
0.531435,0.008674,0.517169,0.008662,3320.0,Germany,DEU,DEU,20210208
0.6102,0.032769,0.602679,0.032659,224.0,Ghana,GHA,GHA,20210208
0.665649,0.017901,0.666187,0.017908,695.0,Greece,GRC,GRC,20210208
0.716479,0.027444,0.722846,0.027635,267.0,Guatemala,GTM,GTM,20210208
0.749074,0.02758,0.723485,0.026734,264.0,Honduras,HND,HND,20210208
0.557591,0.041588,0.588652,0.041976,141.0,Hong Kong,HKG,HKG,20210208
0.568933,0.013973,0.603097,0.014144,1227.0,Hungary,HUN,HUN,20210208
0.614569,0.010358,0.623857,0.010407,2188.0,India,IND,IND,20210208
0.447785,0.014311,0.453344,0.014295,1211.0,Indonesia,IDN,IDN,20210208
0.513051,0.026344,0.487535,0.026343,361.0,Iraq,IRQ,IRQ,20210208
0.68885,0.021562,0.705357,0.021897,448.0,Ireland,IRL,IRL,20210208
0.438443,0.040031,0.496815,0.039727,157.0,Israel,ISR,ISR,20210208
