smoothed_trust_politicians,smoothed_trust_politicians_se,sample_size,country,iso_code,gid_0,survey_date
0.145335,0.008714,1642.0,Uruguay,URY,URY,20201223
0.160734,0.027608,174.0,Uzbekistan,UZB,UZB,20201223
0.124842,0.008352,1606.0,Venezuela,VEN,VEN,20201223
0.373941,0.008749,3032.0,Vietnam,VNM,VNM,20201223
0.206341,0.028254,198.0,Yemen,YEM,YEM,20201223
0.224037,0.024632,296.0,Afghanistan,AFG,AFG,20201224
0.189438,0.027095,211.0,Albania,ALB,ALB,20201224
0.193032,0.01261,980.0,Algeria,DZA,DZA,20201224
0.291386,0.037682,146.0,Angola,AGO,AGO,20201224
0.138961,0.004231,6777.0,Argentina,ARG,ARG,20201224
0.061317,0.024244,100.0,Armenia,ARM,ARM,20201224
0.154101,0.005165,4937.0,Australia,AUS,AUS,20201224
0.086134,0.006308,1970.0,Austria,AUT,AUT,20201224
0.112433,0.01858,293.0,Azerbaijan,AZE,AZE,20201224
0.239789,0.01095,1550.0,Bangladesh,BGD,BGD,20201224
0.038824,0.007097,743.0,Belarus,BLR,BLR,20201224
0.096792,0.006532,2121.0,Belgium,BEL,BEL,20201224
0.141186,0.008265,1780.0,Bolivia,BOL,BOL,20201224
0.051992,0.012453,354.0,Bosnia and Herzegovina,BIH,BIH,20201224
0.141331,0.001837,35971.0,Brazil,BRA,BRA,20201224
0.090204,0.008863,1050.0,Bulgaria,BGR,BGR,20201224
0.236405,0.031712,182.0,Cambodia,KHM,KHM,20201224
0.187248,0.033112,141.0,Cameroon,CMR,CMR,20201224
0.150715,0.004008,7974.0,Canada,CAN,CAN,20201224
0.115834,0.005334,3605.0,Chile,CHL,CHL,20201224
0.146974,0.004016,7762.0,Colombia,COL,COL,20201224
0.197859,0.009855,1639.0,Costa Rica,CRI,CRI,20201224
0.214686,0.031379,171.0,C̫te d'Ivoire,CIV,CIV,20201224
0.056952,0.007054,1091.0,Croatia,HRV,HRV,20201224
0.072933,0.005507,2230.0,Czech Republic,CZE,CZE,20201224
0.171654,0.006228,3699.0,Denmark,DNK,DNK,20201224
0.129381,0.010646,1001.0,Dominican Republic,DOM,DOM,20201224
0.112061,0.005917,2848.0,Ecuador,ECU,ECU,20201224
0.222019,0.005947,4902.0,Egypt,EGY,EGY,20201224
0.107079,0.008766,1254.0,El Salvador,SLV,SLV,20201224
0.195669,0.026184,232.0,Ethiopia,ETH,ETH,20201224
0.199295,0.012366,1064.0,Finland,FIN,FIN,20201224
0.085245,0.002741,10435.0,France,FRA,FRA,20201224
0.107469,0.002676,13405.0,Germany,DEU,DEU,20201224
0.161761,0.016776,487.0,Ghana,GHA,GHA,20201224
0.120572,0.007508,1896.0,Greece,GRC,GRC,20201224
0.105794,0.008929,1211.0,Guatemala,GTM,GTM,20201224
0.09929,0.010901,761.0,Honduras,HND,HND,20201224
0.167387,0.012472,907.0,Hong Kong,HKG,HKG,20201224
0.079225,0.004273,3971.0,Hungary,HUN,HUN,20201224
0.223021,0.00372,12528.0,India,IND,IND,20201224
0.161425,0.004597,6424.0,Indonesia,IDN,IDN,20201224
0.185032,0.00992,1548.0,Iraq,IRQ,IRQ,20201224
0.143069,0.008432,1739.0,Ireland,IRL,IRL,20201224
0.133039,0.006962,2481.0,Israel,ISR,ISR,20201224
0.106836,0.002773,12484.0,Italy,ITA,ITA,20201224
0.155336,0.002295,24887.0,Japan,JPN,JPN,20201224
0.194561,0.012077,1071.0,Jordan,JOR,JOR,20201224
0.081636,0.013383,420.0,Kazakhstan,KAZ,KAZ,20201224
0.195288,0.011558,1179.0,Kenya,KEN,KEN,20201224
0.225835,0.024803,284.0,Kuwait,KWT,KWT,20201224
0.125912,0.026028,163.0,Kyrgyzstan,KGZ,KGZ,20201224
0.223518,0.04001,112.0,Laos,LAO,LAO,20201224
0.086952,0.013066,463.0,Lebanon,LBN,LBN,20201224
0.273955,0.018421,595.0,Libya,LBY,LBY,20201224
0.279726,0.009268,2357.0,Malaysia,MYS,MYS,20201224
0.261646,0.044806,102.0,Mali,MLI,MLI,20201224
0.159106,0.002173,28277.0,Mexico,MEX,MEX,20201224
0.072956,0.01382,357.0,Moldova,MDA,MDA,20201224
0.191836,0.014216,756.0,Morocco,MAR,MAR,20201224
0.308413,0.042635,121.0,Mozambique,MOZ,MOZ,20201224
0.447042,0.01596,974.0,Myanmar,MMR,MMR,20201224
0.193387,0.013707,840.0,Nepal,NPL,NPL,20201224
0.108801,0.004359,5180.0,Netherlands,NLD,NLD,20201224
0.154301,0.00917,1562.0,New Zealand,NZL,NZL,20201224
0.117949,0.012525,669.0,Nicaragua,NIC,NIC,20201224
0.176963,0.009461,1631.0,Nigeria,NGA,NGA,20201224
0.181045,0.007114,2936.0,Norway,NOR,NOR,20201224
0.208938,0.034354,141.0,Oman,OMN,OMN,20201224
0.212346,0.008492,2321.0,Pakistan,PAK,PAK,20201224
0.21009,0.018925,479.0,Palestine,PSE,PSE,20201224
0.113962,0.011341,798.0,Panama,PAN,PAN,20201224
0.105967,0.012292,650.0,Paraguay,PRY,PRY,20201224
0.133242,0.006683,2621.0,Peru,PER,PER,20201224
0.191588,0.006394,3795.0,Philippines,PHL,PHL,20201224
0.130648,0.005619,3619.0,Poland,POL,POL,20201224
0.229077,0.007486,3211.0,Portugal,PRT,PRT,20201224
0.245166,0.010775,1623.0,"Puerto Rico, U.S.",PRI,PRI,20201224
0.248982,0.029579,252.0,Qatar,QAT,QAT,20201224
0.067044,0.004533,3045.0,Romania,ROU,ROU,20201224
0.066702,0.004046,3839.0,Russia,RUS,RUS,20201224
0.236505,0.012287,1204.0,Saudi Arabia,SAU,SAU,20201224
0.065659,0.007294,1180.0,Serbia,SRB,SRB,20201224
0.229323,0.017444,585.0,Singapore,SGP,SGP,20201224
0.126119,0.008523,1516.0,Slovakia,SVK,SVK,20201224
0.086143,0.011904,550.0,Slovenia,SVN,SVN,20201224
0.164201,0.006143,3660.0,South Africa,ZAF,ZAF,20201224
0.231661,0.008306,2581.0,South Korea,KOR,KOR,20201224
0.103986,0.003468,7773.0,Spain,ESP,ESP,20201224
0.15815,0.017382,437.0,Sri Lanka,LKA,LKA,20201224
0.218271,0.016501,631.0,Sudan,SDN,SDN,20201224
0.182013,0.00421,8705.0,Sweden,SWE,SWE,20201224
0.086159,0.006139,2089.0,Switzerland,CHE,CHE,20201224
0.132826,0.004463,5799.0,Taiwan,TWN,TWN,20201224
0.290531,0.043566,109.0,Tanzania,TZA,TZA,20201224
0.227544,0.003926,11406.0,Thailand,THA,THA,20201224
0.200957,0.013636,858.0,Tunisia,TUN,TUN,20201224
0.082919,0.003499,6262.0,Turkey,TUR,TUR,20201224
0.069233,0.003667,4761.0,Ukraine,UKR,UKR,20201224
0.21583,0.013468,936.0,United Arab Emirates,ARE,ARE,20201224
0.162159,0.004024,8401.0,United Kingdom,GBR,GBR,20201224
0.153141,0.00782,2149.0,Uruguay,URY,URY,20201224
0.144465,0.02235,246.0,Uzbekistan,UZB,UZB,20201224
0.125436,0.007301,2100.0,Venezuela,VEN,VEN,20201224
0.363576,0.007374,4241.0,Vietnam,VNM,VNM,20201224
0.161263,0.021449,269.0,Yemen,YEM,YEM,20201224
0.227361,0.021666,385.0,Afghanistan,AFG,AFG,20201225
0.17296,0.02329,264.0,Albania,ALB,ALB,20201225
0.197901,0.011203,1268.0,Algeria,DZA,DZA,20201225
0.280444,0.032767,190.0,Angola,AGO,AGO,20201225
0.140065,0.003737,8718.0,Argentina,ARG,ARG,20201225
