smoothed_hesitant_sideeffects,smoothed_hesitant_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.123553,0.003641,8178.0,Thailand,THA,THA,20210116
0.400653,0.013717,1279.0,Tunisia,TUN,TUN,20210116
0.259422,0.006457,4606.0,Turkey,TUR,TUR,20210116
0.425412,0.006952,5058.0,Ukraine,UKR,UKR,20210116
0.167302,0.011622,1035.0,United Arab Emirates,ARE,ARE,20210116
0.081307,0.002771,9732.0,United Kingdom,GBR,GBR,20210116
0.275443,0.010108,1957.0,Uruguay,URY,URY,20210116
0.394614,0.031302,246.0,Uzbekistan,UZB,UZB,20210116
0.269133,0.009358,2268.0,Venezuela,VEN,VEN,20210116
0.114381,0.004813,4389.0,Vietnam,VNM,VNM,20210116
0.214791,0.030208,190.0,Yemen,YEM,YEM,20210116
0.170302,0.018482,415.0,Afghanistan,AFG,AFG,20210117
0.206044,0.024009,293.0,Albania,ALB,ALB,20210117
0.441864,0.013283,1400.0,Algeria,DZA,DZA,20210117
0.202977,0.028083,203.0,Angola,AGO,AGO,20210117
0.230684,0.004076,10686.0,Argentina,ARG,ARG,20210117
0.404591,0.040982,147.0,Armenia,ARM,ARM,20210117
0.180382,0.004635,6873.0,Australia,AUS,AUS,20210117
0.236525,0.007144,3651.0,Austria,AUT,AUT,20210117
0.480367,0.02658,354.0,Azerbaijan,AZE,AZE,20210117
0.157115,0.009238,1559.0,Bangladesh,BGD,BGD,20210117
0.474761,0.015316,1065.0,Belarus,BLR,BLR,20210117
0.168955,0.006501,3397.0,Belgium,BEL,BEL,20210117
0.282929,0.042697,114.0,Benin,BEN,BEN,20210117
0.23246,0.007605,3116.0,Bolivia,BOL,BOL,20210117
0.299493,0.019565,582.0,Bosnia and Herzegovina,BIH,BIH,20210117
0.149564,0.001484,57811.0,Brazil,BRA,BRA,20210117
0.370574,0.010793,2029.0,Bulgaria,BGR,BGR,20210117
0.422747,0.041481,140.0,Burkina Faso,BFA,BFA,20210117
0.178808,0.027476,193.0,Cambodia,KHM,KHM,20210117
0.479269,0.038313,175.0,Cameroon,CMR,CMR,20210117
0.153287,0.003408,11210.0,Canada,CAN,CAN,20210117
0.23214,0.005642,5603.0,Chile,CHL,CHL,20210117
0.204907,0.003782,11408.0,Colombia,COL,COL,20210117
0.12075,0.007711,1847.0,Costa Rica,CRI,CRI,20210117
0.305406,0.024201,365.0,C̫te d'Ivoire,CIV,CIV,20210117
0.235614,0.010982,1500.0,Croatia,HRV,HRV,20210117
0.188765,0.006249,3926.0,Czech Republic,CZE,CZE,20210117
0.388569,0.038983,157.0,Democratic Republic of the Congo,COD,COD,20210117
0.052068,0.002863,6051.0,Denmark,DNK,DNK,20210117
0.319487,0.011829,1561.0,Dominican Republic,DOM,DOM,20210117
0.299683,0.007548,3697.0,Ecuador,ECU,ECU,20210117
0.302806,0.006656,4767.0,Egypt,EGY,EGY,20210117
0.184841,0.00936,1737.0,El Salvador,SLV,SLV,20210117
0.171382,0.020721,335.0,Ethiopia,ETH,ETH,20210117
0.088064,0.007484,1474.0,Finland,FIN,FIN,20210117
0.274473,0.003246,18905.0,France,FRA,FRA,20210117
0.206832,0.002797,20979.0,Germany,DEU,DEU,20210117
0.351729,0.01889,644.0,Ghana,GHA,GHA,20210117
0.182731,0.007119,2968.0,Greece,GRC,GRC,20210117
0.165026,0.009443,1545.0,Guatemala,GTM,GTM,20210117
0.489633,0.042146,144.0,Haiti,HTI,HTI,20210117
0.166027,0.010116,1359.0,Honduras,HND,HND,20210117
0.307121,0.016268,811.0,Hong Kong,HKG,HKG,20210117
0.197376,0.004841,6802.0,Hungary,HUN,HUN,20210117
0.170077,0.003766,9959.0,India,IND,IND,20210117
0.175126,0.004157,8365.0,Indonesia,IDN,IDN,20210117
0.264343,0.010078,1928.0,Iraq,IRQ,IRQ,20210117
0.112798,0.005435,3533.0,Ireland,IRL,IRL,20210117
0.286406,0.011711,1513.0,Israel,ISR,ISR,20210117
0.103715,0.002144,20226.0,Italy,ITA,ITA,20210117
0.256577,0.002218,38794.0,Japan,JPN,JPN,20210117
0.405783,0.013921,1284.0,Jordan,JOR,JOR,20210117
0.504003,0.019715,640.0,Kazakhstan,KAZ,KAZ,20210117
0.222587,0.010838,1479.0,Kenya,KEN,KEN,20210117
0.177273,0.023803,264.0,Kuwait,KWT,KWT,20210117
0.390271,0.031848,244.0,Kyrgyzstan,KGZ,KGZ,20210117
0.083895,0.02606,117.0,Laos,LAO,LAO,20210117
0.294324,0.013979,1128.0,Lebanon,LBN,LBN,20210117
