smoothed_covid_vaccine,smoothed_covid_vaccine_se,sample_size,country,iso_code,gid_0,survey_date
0.016651,0.000977,17197.0,Germany,DEU,DEU,20210108
0.013499,0.002347,2485.0,Greece,GRC,GRC,20210108
0.00399,0.001592,1523.0,Guatemala,GTM,GTM,20210108
0.010898,0.008323,152.0,Haiti,HTI,HTI,20210108
0.00479,0.00201,1231.0,Honduras,HND,HND,20210108
0.021662,0.00514,852.0,Hong Kong,HKG,HKG,20210108
0.016118,0.001684,6115.0,Hungary,HUN,HUN,20210108
0.02821,0.001467,12746.0,India,IND,IND,20210108
0.013475,0.001211,9061.0,Indonesia,IDN,IDN,20210108
0.013119,0.002127,2888.0,Ireland,IRL,IRL,20210108
0.41476,0.008274,3601.0,Israel,ISR,ISR,20210108
0.027821,0.001234,17849.0,Italy,ITA,ITA,20210108
0.004431,0.000367,32836.0,Japan,JPN,JPN,20210108
0.015707,0.005374,541.0,Kazakhstan,KAZ,KAZ,20210108
0.016902,0.007986,274.0,Kuwait,KWT,KWT,20210108
0.002868,0.001715,972.0,Lebanon,LBN,LBN,20210108
0.007567,0.000472,33673.0,Mexico,MEX,MEX,20210108
0.016885,0.004335,862.0,Morocco,MAR,MAR,20210108
0.017631,0.004209,993.0,Nepal,NPL,NPL,20210108
0.012816,0.001394,6526.0,Netherlands,NLD,NLD,20210108
0.00494,0.001493,2197.0,New Zealand,NZL,NZL,20210108
0.008087,0.002887,1006.0,Nicaragua,NIC,NIC,20210108
0.01056,0.002974,1140.0,Panama,PAN,PAN,20210108
0.007428,0.002842,901.0,Paraguay,PRY,PRY,20210108
0.009262,0.001458,4318.0,Peru,PER,PER,20210108
0.028897,0.002216,5712.0,Poland,POL,POL,20210108
0.015939,0.001743,5322.0,Portugal,PRT,PRT,20210108
0.027106,0.010301,251.0,Qatar,QAT,QAT,20210108
0.037249,0.002805,4538.0,Romania,ROU,ROU,20210108
0.022465,0.002036,5306.0,Russia,RUS,RUS,20210108
0.07142,0.007483,1171.0,Saudi Arabia,SAU,SAU,20210108
0.018839,0.002778,2413.0,Slovakia,SVK,SVK,20210108
0.033429,0.006819,730.0,Slovenia,SVN,SVN,20210108
0.009269,0.00092,10816.0,Spain,ESP,ESP,20210108
0.004386,0.000622,11323.0,Sweden,SWE,SWE,20210108
0.008865,0.001803,2707.0,Switzerland,CHE,CHE,20210108
0.007281,0.001059,6448.0,Taiwan,TWN,TWN,20210108
0.007538,0.001115,6124.0,Turkey,TUR,TUR,20210108
0.032512,0.001678,11204.0,United Kingdom,GBR,GBR,20210108
0.00192,0.000845,2650.0,Uruguay,URY,URY,20210108
0.031582,0.009537,339.0,Uzbekistan,UZB,UZB,20210108
0.010728,0.001882,3085.0,Venezuela,VEN,VEN,20210108
0.012763,0.000928,14573.0,Argentina,ARG,ARG,20210109
0.004633,0.000719,8989.0,Australia,AUS,AUS,20210109
0.00711,0.001412,3634.0,Austria,AUT,AUT,20210109
0.047049,0.004629,2094.0,Bangladesh,BGD,BGD,20210109
0.007062,0.001447,3455.0,Belgium,BEL,BEL,20210109
0.005621,0.001241,3587.0,Bolivia,BOL,BOL,20210109
0.004497,0.000268,62478.0,Brazil,BRA,BRA,20210109
0.016868,0.003045,1815.0,Bulgaria,BGR,BGR,20210109
0.015149,0.001111,12228.0,Canada,CAN,CAN,20210109
0.006674,0.001036,6099.0,Chile,CHL,CHL,20210109
0.008299,0.000746,14775.0,Colombia,COL,COL,20210109
0.013513,0.002402,2357.0,Costa Rica,CRI,CRI,20210109
0.035687,0.004245,1842.0,Croatia,HRV,HRV,20210109
0.07276,0.003595,5234.0,Czech Republic,CZE,CZE,20210109
0.018086,0.00168,7225.0,Denmark,DNK,DNK,20210109
0.008617,0.002023,2087.0,Dominican Republic,DOM,DOM,20210109
0.005354,0.001063,4636.0,Ecuador,ECU,ECU,20210109
0.019396,0.001702,6640.0,Egypt,EGY,EGY,20210109
0.00528,0.00164,2178.0,El Salvador,SLV,SLV,20210109
0.013529,0.002824,1785.0,Finland,FIN,FIN,20210109
0.007168,0.00059,20401.0,France,FRA,FRA,20210109
0.015849,0.000826,22910.0,Germany,DEU,DEU,20210109
0.016175,0.002195,3342.0,Greece,GRC,GRC,20210109
0.006473,0.001826,1925.0,Guatemala,GTM,GTM,20210109
0.011022,0.007299,202.0,Haiti,HTI,HTI,20210109
0.006751,0.002052,1621.0,Honduras,HND,HND,20210109
0.020983,0.004369,1130.0,Hong Kong,HKG,HKG,20210109
0.020612,0.00166,8129.0,Hungary,HUN,HUN,20210109
0.028953,0.001321,16149.0,India,IND,IND,20210109
0.014061,0.001095,11561.0,Indonesia,IDN,IDN,20210109
0.014178,0.001894,3929.0,Ireland,IRL,IRL,20210109
0.424535,0.007086,4948.0,Israel,ISR,ISR,20210109
0.029205,0.001083,24209.0,Italy,ITA,ITA,20210109
0.004076,0.000305,43764.0,Japan,JPN,JPN,20210109
0.013322,0.004353,697.0,Kazakhstan,KAZ,KAZ,20210109
0.019219,0.007484,346.0,Kuwait,KWT,KWT,20210109
0.005847,0.002092,1297.0,Lebanon,LBN,LBN,20210109
0.007489,0.000412,43901.0,Mexico,MEX,MEX,20210109
0.01722,0.003787,1166.0,Morocco,MAR,MAR,20210109
0.020522,0.003971,1276.0,Nepal,NPL,NPL,20210109
0.012925,0.001209,8761.0,Netherlands,NLD,NLD,20210109
0.00539,0.001359,2888.0,New Zealand,NZL,NZL,20210109
0.006331,0.002224,1301.0,Nicaragua,NIC,NIC,20210109
0.009042,0.00242,1510.0,Panama,PAN,PAN,20210109
0.006397,0.002301,1196.0,Paraguay,PRY,PRY,20210109
0.012449,0.001499,5512.0,Peru,PER,PER,20210109
0.030722,0.001992,7528.0,Poland,POL,POL,20210109
0.014638,0.00143,7384.0,Portugal,PRT,PRT,20210109
0.034824,0.01048,321.0,Qatar,QAT,QAT,20210109
0.039588,0.002507,6023.0,Romania,ROU,ROU,20210109
0.024523,0.001843,7040.0,Russia,RUS,RUS,20210109
0.07865,0.00665,1615.0,Saudi Arabia,SAU,SAU,20210109
0.019234,0.002443,3178.0,Slovakia,SVK,SVK,20210109
0.043634,0.006643,976.0,Slovenia,SVN,SVN,20210109
0.009557,0.000815,14222.0,Spain,ESP,ESP,20210109
0.004696,0.00056,14935.0,Sweden,SWE,SWE,20210109
0.009497,0.001614,3605.0,Switzerland,CHE,CHE,20210109
0.007057,0.000912,8427.0,Taiwan,TWN,TWN,20210109
0.006988,0.000925,8249.0,Turkey,TUR,TUR,20210109
0.035116,0.001498,15141.0,United Kingdom,GBR,GBR,20210109
0.001735,0.000704,3442.0,Uruguay,URY,URY,20210109
0.028643,0.007933,446.0,Uzbekistan,UZB,UZB,20210109
0.009931,0.001577,4054.0,Venezuela,VEN,VEN,20210109
0.013416,0.000862,17742.0,Argentina,ARG,ARG,20210110
0.004261,0.000626,11084.0,Australia,AUS,AUS,20210110
0.010125,0.001434,4611.0,Austria,AUT,AUT,20210110
0.048632,0.004279,2536.0,Bangladesh,BGD,BGD,20210110
0.006971,0.001263,4444.0,Belgium,BEL,BEL,20210110
0.005638,0.001124,4400.0,Bolivia,BOL,BOL,20210110
0.004571,0.000243,77479.0,Brazil,BRA,BRA,20210110
0.018797,0.002855,2265.0,Bulgaria,BGR,BGR,20210110
0.015694,0.001003,15491.0,Canada,CAN,CAN,20210110
0.008498,0.001039,7703.0,Chile,CHL,CHL,20210110
0.008743,0.000692,18143.0,Colombia,COL,COL,20210110
0.014015,0.002201,2903.0,Costa Rica,CRI,CRI,20210110
0.035277,0.003831,2316.0,Croatia,HRV,HRV,20210110
0.07289,0.00322,6533.0,Czech Republic,CZE,CZE,20210110
0.020543,0.001566,9066.0,Denmark,DNK,DNK,20210110
0.00849,0.001803,2591.0,Dominican Republic,DOM,DOM,20210110
0.005318,0.000961,5657.0,Ecuador,ECU,ECU,20210110
0.019862,0.001546,8220.0,Egypt,EGY,EGY,20210110
0.00707,0.001703,2704.0,El Salvador,SLV,SLV,20210110
0.014709,0.002636,2213.0,Finland,FIN,FIN,20210110
0.007603,0.000541,25737.0,France,FRA,FRA,20210110
0.016122,0.000742,28887.0,Germany,DEU,DEU,20210110
0.018646,0.002076,4274.0,Greece,GRC,GRC,20210110
0.007948,0.00188,2346.0,Guatemala,GTM,GTM,20210110
0.009198,0.006091,247.0,Haiti,HTI,HTI,20210110
0.0061,0.001774,1994.0,Honduras,HND,HND,20210110
0.022825,0.004071,1392.0,Hong Kong,HKG,HKG,20210110
0.02255,0.001543,10156.0,Hungary,HUN,HUN,20210110
0.027912,0.001186,19310.0,India,IND,IND,20210110
0.01452,0.001007,14119.0,Indonesia,IDN,IDN,20210110
0.016015,0.001784,4994.0,Ireland,IRL,IRL,20210110
0.42642,0.006459,6082.0,Israel,ISR,ISR,20210110
0.031297,0.000993,30718.0,Italy,ITA,ITA,20210110
0.004362,0.000282,54806.0,Japan,JPN,JPN,20210110
0.011162,0.003511,888.0,Kazakhstan,KAZ,KAZ,20210110
0.021336,0.00724,408.0,Kuwait,KWT,KWT,20210110
0.005482,0.001818,1613.0,Lebanon,LBN,LBN,20210110
0.00736,0.000366,54659.0,Mexico,MEX,MEX,20210110
0.015628,0.00323,1457.0,Morocco,MAR,MAR,20210110
0.018841,0.003407,1587.0,Nepal,NPL,NPL,20210110
0.013741,0.001102,11175.0,Netherlands,NLD,NLD,20210110
0.005285,0.001208,3586.0,New Zealand,NZL,NZL,20210110
0.007215,0.002145,1580.0,Nicaragua,NIC,NIC,20210110
0.009633,0.002258,1873.0,Panama,PAN,PAN,20210110
0.005228,0.001881,1470.0,Paraguay,PRY,PRY,20210110
0.01115,0.001276,6774.0,Peru,PER,PER,20210110
0.030405,0.001767,9468.0,Poland,POL,POL,20210110
0.014387,0.001236,9613.0,Portugal,PRT,PRT,20210110
0.043226,0.010639,390.0,Qatar,QAT,QAT,20210110
0.042057,0.002297,7597.0,Romania,ROU,ROU,20210110
0.025548,0.001678,8837.0,Russia,RUS,RUS,20210110
0.076637,0.00586,2037.0,Saudi Arabia,SAU,SAU,20210110
0.021703,0.002314,3958.0,Slovakia,SVK,SVK,20210110
0.043193,0.005902,1220.0,Slovenia,SVN,SVN,20210110
0.009832,0.000735,17957.0,Spain,ESP,ESP,20210110
0.004866,0.00051,18648.0,Sweden,SWE,SWE,20210110
0.009849,0.001467,4527.0,Switzerland,CHE,CHE,20210110
0.00852,0.0009,10451.0,Taiwan,TWN,TWN,20210110
0.006845,0.000831,9995.0,Turkey,TUR,TUR,20210110
0.037825,0.001373,19285.0,United Kingdom,GBR,GBR,20210110
0.00345,0.000897,4228.0,Uruguay,URY,URY,20210110
0.030005,0.007275,555.0,Uzbekistan,UZB,UZB,20210110
0.009187,0.00136,5010.0,Venezuela,VEN,VEN,20210110
0.013683,0.000795,21281.0,Argentina,ARG,ARG,20210111
0.004273,0.000576,13107.0,Australia,AUS,AUS,20210111
0.012148,0.00148,5462.0,Austria,AUT,AUT,20210111
0.047521,0.00387,3038.0,Bangladesh,BGD,BGD,20210111
0.00689,0.001143,5347.0,Belgium,BEL,BEL,20210111
0.005091,0.000976,5393.0,Bolivia,BOL,BOL,20210111
0.004626,0.000223,92931.0,Brazil,BRA,BRA,20210111
0.01692,0.002471,2707.0,Bulgaria,BGR,BGR,20210111
0.01664,0.000941,18566.0,Canada,CAN,CAN,20210111
0.008489,0.000951,9218.0,Chile,CHL,CHL,20210111
0.008727,0.000633,21650.0,Colombia,COL,COL,20210111
0.012838,0.001924,3471.0,Costa Rica,CRI,CRI,20210111
0.032653,0.003386,2746.0,Croatia,HRV,HRV,20210111
0.073235,0.002939,7874.0,Czech Republic,CZE,CZE,20210111
0.020283,0.001414,10825.0,Denmark,DNK,DNK,20210111
0.009648,0.001761,3071.0,Dominican Republic,DOM,DOM,20210111
0.00474,0.000829,6924.0,Ecuador,ECU,ECU,20210111
0.020206,0.001438,9663.0,Egypt,EGY,EGY,20210111
0.007025,0.00154,3228.0,El Salvador,SLV,SLV,20210111
0.015562,0.002463,2672.0,Finland,FIN,FIN,20210111
0.008015,0.000506,30896.0,France,FRA,FRA,20210111
0.016826,0.000695,34283.0,Germany,DEU,DEU,20210111
0.020564,0.001991,5115.0,Greece,GRC,GRC,20210111
0.006862,0.001586,2805.0,Guatemala,GTM,GTM,20210111
0.014045,0.006994,295.0,Haiti,HTI,HTI,20210111
0.007011,0.001711,2409.0,Honduras,HND,HND,20210111
0.024672,0.003889,1627.0,Hong Kong,HKG,HKG,20210111
0.024334,0.001459,12099.0,Hungary,HUN,HUN,20210111
0.027524,0.001095,22317.0,India,IND,IND,20210111
0.014789,0.000935,16668.0,Indonesia,IDN,IDN,20210111
0.015978,0.001628,5981.0,Ireland,IRL,IRL,20210111
0.427214,0.005908,7231.0,Israel,ISR,ISR,20210111
0.032364,0.000928,36314.0,Italy,ITA,ITA,20210111
0.004236,0.000255,64999.0,Japan,JPN,JPN,20210111
0.011954,0.003366,1042.0,Kazakhstan,KAZ,KAZ,20210111
0.026343,0.007339,486.0,Kuwait,KWT,KWT,20210111
0.00582,0.001713,1935.0,Lebanon,LBN,LBN,20210111
0.007685,0.00034,66041.0,Mexico,MEX,MEX,20210111
0.014585,0.002866,1745.0,Morocco,MAR,MAR,20210111
0.020302,0.003269,1865.0,Nepal,NPL,NPL,20210111
0.013737,0.001,13578.0,Netherlands,NLD,NLD,20210111
0.004826,0.001054,4295.0,New Zealand,NZL,NZL,20210111
0.009506,0.002217,1895.0,Nicaragua,NIC,NIC,20210111
0.009904,0.002111,2201.0,Panama,PAN,PAN,20210111
0.004423,0.001591,1787.0,Paraguay,PRY,PRY,20210111
0.010692,0.001144,8081.0,Peru,PER,PER,20210111
0.031411,0.001639,11343.0,Poland,POL,POL,20210111
0.01471,0.001137,11628.0,Portugal,PRT,PRT,20210111
0.04665,0.010122,458.0,Qatar,QAT,QAT,20210111
0.04317,0.002135,9017.0,Romania,ROU,ROU,20210111
0.024565,0.001513,10469.0,Russia,RUS,RUS,20210111
0.076168,0.005378,2413.0,Saudi Arabia,SAU,SAU,20210111
0.020809,0.002092,4648.0,Slovakia,SVK,SVK,20210111
0.043128,0.005381,1475.0,Slovenia,SVN,SVN,20210111
0.010212,0.000687,21384.0,Spain,ESP,ESP,20210111
0.00505,0.000474,22334.0,Sweden,SWE,SWE,20210111
0.010242,0.001367,5436.0,Switzerland,CHE,CHE,20210111
0.008649,0.000833,12385.0,Taiwan,TWN,TWN,20210111
0.006247,0.000741,11416.0,Turkey,TUR,TUR,20210111
0.037893,0.001256,23082.0,United Kingdom,GBR,GBR,20210111
0.003271,0.000802,5019.0,Uruguay,URY,URY,20210111
0.027138,0.006392,657.0,Uzbekistan,UZB,UZB,20210111
0.009469,0.001276,5874.0,Venezuela,VEN,VEN,20210111
0.013142,0.000734,24048.0,Argentina,ARG,ARG,20210112
0.00436,0.00055,14700.0,Australia,AUS,AUS,20210112
0.011537,0.001343,6277.0,Austria,AUT,AUT,20210112
0.046491,0.003585,3466.0,Bangladesh,BGD,BGD,20210112
0.006561,0.001033,6209.0,Belgium,BEL,BEL,20210112
0.005124,0.000912,6220.0,Bolivia,BOL,BOL,20210112
0.004413,0.000203,106305.0,Brazil,BRA,BRA,20210112
0.01733,0.002337,3099.0,Bulgaria,BGR,BGR,20210112
0.016909,0.000891,21019.0,Canada,CAN,CAN,20210112
0.008348,0.000886,10449.0,Chile,CHL,CHL,20210112
0.008621,0.000592,24397.0,Colombia,COL,COL,20210112
0.013931,0.001873,3946.0,Costa Rica,CRI,CRI,20210112
0.032166,0.00315,3128.0,Croatia,HRV,HRV,20210112
0.071587,0.002726,8959.0,Czech Republic,CZE,CZE,20210112
0.021699,0.001367,12400.0,Denmark,DNK,DNK,20210112
0.009337,0.001635,3458.0,Dominican Republic,DOM,DOM,20210112
0.005376,0.000824,7918.0,Ecuador,ECU,ECU,20210112
0.020144,0.001358,10802.0,Egypt,EGY,EGY,20210112
0.00882,0.001619,3649.0,El Salvador,SLV,SLV,20210112
0.013956,0.002172,3066.0,Finland,FIN,FIN,20210112
0.008263,0.000478,35725.0,France,FRA,FRA,20210112
0.017553,0.000664,39209.0,Germany,DEU,DEU,20210112
0.022383,0.001931,5849.0,Greece,GRC,GRC,20210112
