smoothed_twodoses,smoothed_twodoses_se,sample_size,country,iso_code,gid_0,survey_date
0.035656,0.00476,1523.0,Brazil,BRA,BRA,20210126
0.120486,0.013838,577.0,Canada,CAN,CAN,20210126
0.176629,0.035522,121.0,Chile,CHL,CHL,20210126
0.188802,0.035833,125.0,Croatia,HRV,HRV,20210126
0.168229,0.019787,347.0,Czech Republic,CZE,CZE,20210126
0.142509,0.019324,349.0,Denmark,DNK,DNK,20210126
0.142647,0.03438,108.0,Finland,FIN,FIN,20210126
0.036364,0.005163,1187.0,France,FRA,FRA,20210126
0.192903,0.01045,1415.0,Germany,DEU,DEU,20210126
0.069947,0.017344,237.0,Greece,GRC,GRC,20210126
0.140562,0.014883,532.0,Hungary,HUN,HUN,20210126
0.099399,0.010783,857.0,India,IND,IND,20210126
0.089988,0.015898,333.0,Indonesia,IDN,IDN,20210126
0.051096,0.013763,264.0,Ireland,IRL,IRL,20210126
0.520636,0.006961,5118.0,Israel,ISR,ISR,20210126
0.149699,0.007096,2460.0,Italy,ITA,ITA,20210126
0.245281,0.036197,149.0,Japan,JPN,JPN,20210126
0.061575,0.00615,1560.0,Mexico,MEX,MEX,20210126
0.034837,0.010684,310.0,Netherlands,NLD,NLD,20210126
0.151004,0.013714,670.0,Poland,POL,POL,20210126
0.227227,0.018683,513.0,Portugal,PRT,PRT,20210126
0.072296,0.007435,1226.0,Romania,ROU,ROU,20210126
0.361149,0.017514,743.0,Russia,RUS,RUS,20210126
0.650023,0.029612,270.0,Saudi Arabia,SAU,SAU,20210126
0.037704,0.013022,206.0,Slovakia,SVK,SVK,20210126
0.082503,0.008598,1033.0,Spain,ESP,ESP,20210126
0.042096,0.00784,674.0,Sweden,SWE,SWE,20210126
0.070799,0.017138,230.0,Switzerland,CHE,CHE,20210126
0.033526,0.007859,518.0,Turkey,TUR,TUR,20210126
0.069059,0.005256,2281.0,United Kingdom,GBR,GBR,20210126
0.263705,0.020125,476.0,Argentina,ARG,ARG,20210127
0.054177,0.014606,261.0,Austria,AUT,AUT,20210127
0.055745,0.018497,162.0,Belgium,BEL,BEL,20210127
0.032572,0.004219,1786.0,Brazil,BRA,BRA,20210127
0.131471,0.014512,556.0,Canada,CAN,CAN,20210127
0.181734,0.035787,122.0,Chile,CHL,CHL,20210127
0.202714,0.036547,126.0,Croatia,HRV,HRV,20210127
0.174639,0.020154,345.0,Czech Republic,CZE,CZE,20210127
0.175939,0.021956,330.0,Denmark,DNK,DNK,20210127
0.153592,0.035825,104.0,Finland,FIN,FIN,20210127
0.032921,0.005034,1245.0,France,FRA,FRA,20210127
0.197794,0.010445,1450.0,Germany,DEU,DEU,20210127
0.087416,0.01933,241.0,Greece,GRC,GRC,20210127
0.174417,0.015927,555.0,Hungary,HUN,HUN,20210127
0.095296,0.010357,937.0,India,IND,IND,20210127
0.088842,0.015784,338.0,Indonesia,IDN,IDN,20210127
0.067074,0.014787,267.0,Ireland,IRL,IRL,20210127
0.55056,0.006907,5189.0,Israel,ISR,ISR,20210127
0.195886,0.007779,2478.0,Italy,ITA,ITA,20210127
0.250442,0.035857,161.0,Japan,JPN,JPN,20210127
0.06681,0.006226,1619.0,Mexico,MEX,MEX,20210127
0.035889,0.010438,313.0,Netherlands,NLD,NLD,20210127
0.178099,0.014507,682.0,Poland,POL,POL,20210127
0.225014,0.018298,531.0,Portugal,PRT,PRT,20210127
0.079652,0.007674,1262.0,Romania,ROU,ROU,20210127
0.322016,0.017051,740.0,Russia,RUS,RUS,20210127
0.654524,0.029562,272.0,Saudi Arabia,SAU,SAU,20210127
0.038016,0.013056,206.0,Slovakia,SVK,SVK,20210127
0.098882,0.009362,1015.0,Spain,ESP,ESP,20210127
0.036963,0.007095,715.0,Sweden,SWE,SWE,20210127
0.086404,0.018273,239.0,Switzerland,CHE,CHE,20210127
0.027263,0.007159,509.0,Turkey,TUR,TUR,20210127
0.277448,0.033,193.0,United Arab Emirates,ARE,ARE,20210127
0.070218,0.005149,2417.0,United Kingdom,GBR,GBR,20210127
0.26452,0.020231,472.0,Argentina,ARG,ARG,20210128
0.04933,0.013828,268.0,Austria,AUT,AUT,20210128
0.067361,0.01959,168.0,Belgium,BEL,BEL,20210128
0.026445,0.003625,1992.0,Brazil,BRA,BRA,20210128
0.145957,0.015101,562.0,Canada,CAN,CAN,20210128
0.179315,0.035024,126.0,Chile,CHL,CHL,20210128
0.259144,0.038809,126.0,Croatia,HRV,HRV,20210128
0.17609,0.020458,335.0,Czech Republic,CZE,CZE,20210128
0.202151,0.021993,321.0,Denmark,DNK,DNK,20210128
0.040643,0.005438,1313.0,France,FRA,FRA,20210128
0.214045,0.010691,1463.0,Germany,DEU,DEU,20210128
0.100672,0.020622,242.0,Greece,GRC,GRC,20210128
0.215032,0.016574,574.0,Hungary,HUN,HUN,20210128
0.074476,0.008319,1013.0,India,IND,IND,20210128
0.115227,0.017913,334.0,Indonesia,IDN,IDN,20210128
0.068504,0.014895,260.0,Ireland,IRL,IRL,20210128
