smoothed_pct_hes_cost,smoothed_hes_cost_se,sample_size,country,iso_code,gid_0,survey_date
0.036127,0.007372,648.0,Switzerland,CHE,CHE,20210207
0.122798,0.006681,2414.0,Taiwan,TWN,TWN,20210207
0.279602,0.011185,1612.0,Thailand,THA,THA,20210207
0.074882,0.012716,430.0,Tunisia,TUN,TUN,20210207
0.068209,0.006323,1592.0,Turkey,TUR,TUR,20210207
0.124912,0.007638,1882.0,Ukraine,UKR,UKR,20210207
0.081948,0.02334,143.0,United Arab Emirates,ARE,ARE,20210207
0.016225,0.003796,1115.0,United Kingdom,GBR,GBR,20210207
0.042992,0.009136,503.0,Uruguay,URY,URY,20210207
0.125065,0.033424,117.0,Uzbekistan,UZB,UZB,20210207
0.241158,0.016277,696.0,Venezuela,VEN,VEN,20210207
0.24551,0.008198,2760.0,Vietnam,VNM,VNM,20210207
0.124587,0.03446,123.0,Afghanistan,AFG,AFG,20210208
0.040432,0.016538,139.0,Albania,ALB,ALB,20210208
0.080146,0.010255,705.0,Algeria,DZA,DZA,20210208
0.098899,0.005143,3366.0,Argentina,ARG,ARG,20210208
0.056957,0.005504,1763.0,Australia,AUS,AUS,20210208
0.016908,0.004671,777.0,Austria,AUT,AUT,20210208
0.054404,0.018558,152.0,Azerbaijan,AZE,AZE,20210208
0.134379,0.013246,665.0,Bangladesh,BGD,BGD,20210208
0.042189,0.009631,449.0,Belarus,BLR,BLR,20210208
0.035943,0.006281,876.0,Belgium,BEL,BEL,20210208
0.133548,0.011414,885.0,Bolivia,BOL,BOL,20210208
0.055079,0.015362,221.0,Bosnia and Herzegovina,BIH,BIH,20210208
0.056989,0.002608,7959.0,Brazil,BRA,BRA,20210208
0.040735,0.006886,838.0,Bulgaria,BGR,BGR,20210208
0.109955,0.029414,116.0,Cameroon,CMR,CMR,20210208
0.053007,0.004539,2446.0,Canada,CAN,CAN,20210208
0.083437,0.007596,1340.0,Chile,CHL,CHL,20210208
0.116297,0.005869,2995.0,Colombia,COL,COL,20210208
0.166505,0.021436,305.0,Costa Rica,CRI,CRI,20210208
0.101228,0.026535,143.0,C̫te d'Ivoire,CIV,CIV,20210208
0.036971,0.008911,447.0,Croatia,HRV,HRV,20210208
0.031298,0.004722,1366.0,Czech Republic,CZE,CZE,20210208
0.017708,0.005372,592.0,Denmark,DNK,DNK,20210208
0.120911,0.015188,465.0,Dominican Republic,DOM,DOM,20210208
0.199452,0.011504,1217.0,Ecuador,ECU,ECU,20210208
0.196367,0.010216,1515.0,Egypt,EGY,EGY,20210208
0.190899,0.016776,554.0,El Salvador,SLV,SLV,20210208
0.134746,0.026494,148.0,Ethiopia,ETH,ETH,20210208
0.016598,0.008214,249.0,Finland,FIN,FIN,20210208
0.022045,0.001803,6632.0,France,FRA,FRA,20210208
0.022313,0.002093,5042.0,Germany,DEU,DEU,20210208
0.131871,0.015974,460.0,Ghana,GHA,GHA,20210208
0.031642,0.005034,1196.0,Greece,GRC,GRC,20210208
0.21731,0.019511,451.0,Guatemala,GTM,GTM,20210208
0.242308,0.020412,456.0,Honduras,HND,HND,20210208
0.061526,0.01362,325.0,Hong Kong,HKG,HKG,20210208
0.031572,0.004234,1719.0,Hungary,HUN,HUN,20210208
0.066585,0.003878,4114.0,India,IND,IND,20210208
0.222752,0.008338,2492.0,Indonesia,IDN,IDN,20210208
0.145878,0.012967,760.0,Iraq,IRQ,IRQ,20210208
0.057201,0.011708,395.0,Ireland,IRL,IRL,20210208
0.02666,0.008224,379.0,Israel,ISR,ISR,20210208
0.021016,0.002288,3925.0,Italy,ITA,ITA,20210208
0.109606,0.002513,15469.0,Japan,JPN,JPN,20210208
0.057203,0.011582,422.0,Jordan,JOR,JOR,20210208
0.050886,0.011875,334.0,Kazakhstan,KAZ,KAZ,20210208
0.172342,0.017531,469.0,Kenya,KEN,KEN,20210208
0.064587,0.022684,122.0,Kuwait,KWT,KWT,20210208
0.056721,0.021559,118.0,Kyrgyzstan,KGZ,KGZ,20210208
0.112812,0.017579,325.0,Lebanon,LBN,LBN,20210208
0.095522,0.018174,277.0,Libya,LBY,LBY,20210208
0.220368,0.012238,1149.0,Malaysia,MYS,MYS,20210208
0.149501,0.004104,7548.0,Mexico,MEX,MEX,20210208
0.088041,0.020728,184.0,Moldova,MDA,MDA,20210208
0.014953,0.007242,303.0,Morocco,MAR,MAR,20210208
0.116453,0.022375,209.0,Mozambique,MOZ,MOZ,20210208
0.09788,0.016446,339.0,Nepal,NPL,NPL,20210208
0.027419,0.004435,1350.0,Netherlands,NLD,NLD,20210208
0.060119,0.008803,734.0,New Zealand,NZL,NZL,20210208
0.303153,0.029475,244.0,Nicaragua,NIC,NIC,20210208
0.124142,0.011571,818.0,Nigeria,NGA,NGA,20210208
0.016957,0.004559,807.0,Norway,NOR,NOR,20210208
0.1381,0.013382,658.0,Pakistan,PAK,PAK,20210208
0.130579,0.02853,165.0,Palestine,PSE,PSE,20210208
0.033265,0.011626,240.0,Panama,PAN,PAN,20210208
0.146831,0.018095,375.0,Paraguay,PRY,PRY,20210208
0.158945,0.008232,1980.0,Peru,PER,PER,20210208
0.234609,0.008662,2394.0,Philippines,PHL,PHL,20210208
0.05268,0.005503,1645.0,Poland,POL,POL,20210208
0.027797,0.003883,1802.0,Portugal,PRT,PRT,20210208
0.056465,0.011895,406.0,"Puerto Rico, U.S.",PRI,PRI,20210208
0.028654,0.004902,1171.0,Romania,ROU,ROU,20210208
0.031563,0.003583,2393.0,Russia,RUS,RUS,20210208
0.087679,0.01262,499.0,Saudi Arabia,SAU,SAU,20210208
0.028358,0.006797,605.0,Serbia,SRB,SRB,20210208
0.056347,0.018306,162.0,Singapore,SGP,SGP,20210208
0.018894,0.005329,639.0,Slovakia,SVK,SVK,20210208
0.033478,0.010443,300.0,Slovenia,SVN,SVN,20210208
0.131243,0.00942,1284.0,South Africa,ZAF,ZAF,20210208
0.087299,0.009209,921.0,South Korea,KOR,KOR,20210208
0.030549,0.003173,2933.0,Spain,ESP,ESP,20210208
0.083456,0.021825,164.0,Sri Lanka,LKA,LKA,20210208
0.164547,0.02576,216.0,Sudan,SDN,SDN,20210208
0.020296,0.003203,1949.0,Sweden,SWE,SWE,20210208
0.037453,0.006127,968.0,Switzerland,CHE,CHE,20210208
0.121588,0.005539,3495.0,Taiwan,TWN,TWN,20210208
0.168271,0.032657,129.0,Tanzania,TZA,TZA,20210208
0.276017,0.009303,2318.0,Thailand,THA,THA,20210208
0.071057,0.010124,652.0,Tunisia,TUN,TUN,20210208
0.067021,0.005237,2296.0,Turkey,TUR,TUR,20210208
0.132424,0.006414,2801.0,Ukraine,UKR,UKR,20210208
0.088328,0.018643,239.0,United Arab Emirates,ARE,ARE,20210208
0.018443,0.003291,1674.0,United Kingdom,GBR,GBR,20210208
0.038537,0.006965,779.0,Uruguay,URY,URY,20210208
0.104302,0.024037,179.0,Uzbekistan,UZB,UZB,20210208
0.252749,0.013429,1052.0,Venezuela,VEN,VEN,20210208
0.263141,0.006669,4356.0,Vietnam,VNM,VNM,20210208
0.182398,0.036916,109.0,Yemen,YEM,YEM,20210208
0.200126,0.03233,171.0,Afghanistan,AFG,AFG,20210209
0.06084,0.017155,185.0,Albania,ALB,ALB,20210209
0.069403,0.008291,942.0,Algeria,DZA,DZA,20210209
0.103817,0.027528,119.0,Angola,AGO,AGO,20210209
0.094722,0.004353,4516.0,Argentina,ARG,ARG,20210209
0.056805,0.005379,2366.0,Australia,AUS,AUS,20210209
0.018465,0.004237,1026.0,Austria,AUT,AUT,20210209
0.053827,0.017002,184.0,Azerbaijan,AZE,AZE,20210209
0.133395,0.011891,838.0,Bangladesh,BGD,BGD,20210209
0.042546,0.008583,569.0,Belarus,BLR,BLR,20210209
0.033032,0.005246,1153.0,Belgium,BEL,BEL,20210209
0.140951,0.010111,1183.0,Bolivia,BOL,BOL,20210209
0.056297,0.013739,294.0,Bosnia and Herzegovina,BIH,BIH,20210209
0.055899,0.002237,10605.0,Brazil,BRA,BRA,20210209
0.03994,0.006097,1059.0,Bulgaria,BGR,BGR,20210209
0.131906,0.026389,165.0,Cameroon,CMR,CMR,20210209
0.048758,0.003781,3246.0,Canada,CAN,CAN,20210209
0.079782,0.006487,1757.0,Chile,CHL,CHL,20210209
0.124721,0.005213,4033.0,Colombia,COL,COL,20210209
0.152891,0.017422,428.0,Costa Rica,CRI,CRI,20210209
0.103552,0.022493,199.0,C̫te d'Ivoire,CIV,CIV,20210209
0.032472,0.007257,594.0,Croatia,HRV,HRV,20210209
0.034027,0.004288,1796.0,Czech Republic,CZE,CZE,20210209
0.071135,0.026481,105.0,Democratic Republic of the Congo,COD,COD,20210209
0.018194,0.004788,769.0,Denmark,DNK,DNK,20210209
0.113454,0.012824,617.0,Dominican Republic,DOM,DOM,20210209
0.202449,0.009768,1712.0,Ecuador,ECU,ECU,20210209
0.205574,0.009029,2002.0,Egypt,EGY,EGY,20210209
0.172686,0.013914,736.0,El Salvador,SLV,SLV,20210209
0.138417,0.023434,206.0,Ethiopia,ETH,ETH,20210209
0.025834,0.008849,327.0,Finland,FIN,FIN,20210209
