smoothed_pct_hes_wontwork,smoothed_hes_wontwork_se,sample_size,country,iso_code,gid_0,survey_date
0.253012,0.019416,499.0,Saudi Arabia,SAU,SAU,20210208
0.213848,0.016721,605.0,Serbia,SRB,SRB,20210208
0.333245,0.037342,162.0,Singapore,SGP,SGP,20210208
0.26869,0.017552,639.0,Slovakia,SVK,SVK,20210208
0.245291,0.024954,300.0,Slovenia,SVN,SVN,20210208
0.273058,0.012462,1284.0,South Africa,ZAF,ZAF,20210208
0.292202,0.01501,921.0,South Korea,KOR,KOR,20210208
0.267088,0.008162,2933.0,Spain,ESP,ESP,20210208
0.248732,0.033612,164.0,Sri Lanka,LKA,LKA,20210208
0.209439,0.027383,216.0,Sudan,SDN,SDN,20210208
0.218739,0.009376,1949.0,Sweden,SWE,SWE,20210208
0.282027,0.01453,968.0,Switzerland,CHE,CHE,20210208
0.42423,0.008371,3495.0,Taiwan,TWN,TWN,20210208
0.309131,0.041652,129.0,Tanzania,TZA,TZA,20210208
0.386578,0.010136,2318.0,Thailand,THA,THA,20210208
0.418482,0.019209,652.0,Tunisia,TUN,TUN,20210208
0.412251,0.010321,2296.0,Turkey,TUR,TUR,20210208
0.206737,0.00768,2801.0,Ukraine,UKR,UKR,20210208
0.206198,0.025956,239.0,United Arab Emirates,ARE,ARE,20210208
0.217208,0.010076,1674.0,United Kingdom,GBR,GBR,20210208
0.288656,0.016312,779.0,Uruguay,URY,URY,20210208
0.255105,0.03424,179.0,Uzbekistan,UZB,UZB,20210208
0.304965,0.014196,1052.0,Venezuela,VEN,VEN,20210208
0.348809,0.00721,4356.0,Vietnam,VNM,VNM,20210208
0.324693,0.044776,109.0,Yemen,YEM,YEM,20210208
0.277186,0.037443,171.0,Afghanistan,AFG,AFG,20210209
0.281443,0.033114,185.0,Albania,ALB,ALB,20210209
0.342659,0.015499,942.0,Algeria,DZA,DZA,20210209
0.312959,0.044643,119.0,Angola,AGO,AGO,20210209
0.243906,0.006393,4516.0,Argentina,ARG,ARG,20210209
0.24925,0.010054,2366.0,Australia,AUS,AUS,20210209
0.23118,0.013219,1026.0,Austria,AUT,AUT,20210209
