pct_hes_dontlike,hes_dontlike_se,pct_hes_dontlike_unw,hes_dontlike_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.085367,0.007072,0.089853,0.006911,1636.0,Germany,DEU,DEU,20210208
0.117583,0.023972,0.110465,0.024633,172.0,Ghana,GHA,GHA,20210208
0.067022,0.011798,0.058228,0.012598,395.0,Greece,GRC,GRC,20210208
0.063623,0.020948,0.064748,0.020778,139.0,Guatemala,GTM,GTM,20210208
0.123548,0.021931,0.082278,0.026262,158.0,Honduras,HND,HND,20210208
0.128115,0.012697,0.105622,0.013806,587.0,Hungary,HUN,HUN,20210208
0.053975,0.006624,0.060325,0.006287,1293.0,India,IND,IND,20210208
0.09622,0.010328,0.098439,0.010224,833.0,Indonesia,IDN,IDN,20210208
0.095555,0.021094,0.12749,0.018593,251.0,Iraq,IRQ,IRQ,20210208
0.096084,0.025446,0.1,0.024997,140.0,Ireland,IRL,IRL,20210208
0.282908,0.038935,0.203704,0.043543,108.0,Israel,ISR,ISR,20210208
0.055012,0.006424,0.059215,0.006205,1351.0,Italy,ITA,ITA,20210208
0.075796,0.003921,0.078892,0.00385,4728.0,Japan,JPN,JPN,20210208
0.188918,0.028773,0.130435,0.033443,138.0,Jordan,JOR,JOR,20210208
0.071814,0.026026,0.081081,0.024616,111.0,Kazakhstan,KAZ,KAZ,20210208
0.069628,0.021402,0.06993,0.021359,143.0,Kenya,KEN,KEN,20210208
0.041187,0.010186,0.040214,0.010303,373.0,Malaysia,MYS,MYS,20210208
0.054376,0.004418,0.052734,0.004483,2560.0,Mexico,MEX,MEX,20210208
0.102608,0.027299,0.09009,0.028932,111.0,Morocco,MAR,MAR,20210208
0.018265,0.018623,0.042373,0.01238,118.0,Nepal,NPL,NPL,20210208
0.134159,0.014441,0.113636,0.015508,484.0,Netherlands,NLD,NLD,20210208
0.074604,0.016204,0.069106,0.016787,246.0,New Zealand,NZL,NZL,20210208
0.043401,0.015391,0.063492,0.012861,252.0,Nigeria,NGA,NGA,20210208
0.069839,0.014652,0.062271,0.015454,273.0,Norway,NOR,NOR,20210208
0.089105,0.019845,0.097778,0.019035,225.0,Pakistan,PAK,PAK,20210208
0.045855,0.02181,0.063492,0.018709,126.0,Paraguay,PRY,PRY,20210208
0.044946,0.008343,0.045959,0.008254,631.0,Peru,PER,PER,20210208
0.066585,0.00791,0.052632,0.008831,798.0,Philippines,PHL,PHL,20210208
0.055781,0.0107,0.065421,0.009931,535.0,Poland,POL,POL,20210208
0.098431,0.011341,0.081034,0.01238,580.0,Portugal,PRT,PRT,20210208
0.054999,0.019973,0.061644,0.018933,146.0,"Puerto Rico, U.S.",PRI,PRI,20210208
0.092791,0.015433,0.092958,0.015421,355.0,Romania,ROU,ROU,20210208
0.08353,0.009679,0.075269,0.01015,744.0,Russia,RUS,RUS,20210208
0.050323,0.0181,0.058824,0.016816,170.0,Saudi Arabia,SAU,SAU,20210208
0.080576,0.020099,0.08377,0.019746,191.0,Serbia,SRB,SRB,20210208
0.107409,0.02123,0.102439,0.021679,205.0,Slovakia,SVK,SVK,20210208
0.153151,0.033769,0.145455,0.034494,110.0,Slovenia,SVN,SVN,20210208
0.091225,0.013505,0.094017,0.013324,468.0,South Africa,ZAF,ZAF,20210208
0.034069,0.01147,0.038732,0.010783,284.0,South Korea,KOR,KOR,20210208
0.066793,0.007699,0.058824,0.008169,935.0,Spain,ESP,ESP,20210208
0.066404,0.011107,0.083601,0.009992,622.0,Sweden,SWE,SWE,20210208
0.103296,0.018316,0.121875,0.01704,320.0,Switzerland,CHE,CHE,20210208
0.047433,0.006013,0.040703,0.006468,1081.0,Taiwan,TWN,TWN,20210208
0.018992,0.005431,0.021246,0.005141,706.0,Thailand,THA,THA,20210208
0.116473,0.018361,0.081081,0.021579,222.0,Tunisia,TUN,TUN,20210208
0.07748,0.01037,0.082386,0.010083,704.0,Turkey,TUR,TUR,20210208
0.042068,0.006893,0.045702,0.006626,919.0,Ukraine,UKR,UKR,20210208
0.084231,0.011748,0.084079,0.011757,559.0,United Kingdom,GBR,GBR,20210208
0.031759,0.011796,0.039855,0.010574,276.0,Uruguay,URY,URY,20210208
0.057603,0.01193,0.053371,0.012366,356.0,Venezuela,VEN,VEN,20210208
0.01641,0.002984,0.014411,0.003181,1596.0,Vietnam,VNM,VNM,20210208
0.123752,0.023094,0.147679,0.021435,237.0,Algeria,DZA,DZA,20210209
0.038345,0.005534,0.036522,0.005665,1150.0,Argentina,ARG,ARG,20210209
0.069272,0.009781,0.06136,0.010349,603.0,Australia,AUS,AUS,20210209
0.1261,0.020964,0.124498,0.02108,249.0,Austria,AUT,AUT,20210209
0.062748,0.019373,0.069364,0.018491,173.0,Bangladesh,BGD,BGD,20210209
0.050197,0.022866,0.066667,0.020016,120.0,Belarus,BLR,BLR,20210209
0.066094,0.015214,0.068592,0.014955,277.0,Belgium,BEL,BEL,20210209
0.053581,0.012687,0.050336,0.013067,298.0,Bolivia,BOL,BOL,20210209
0.050767,0.004233,0.049887,0.004268,2646.0,Brazil,BRA,BRA,20210209
0.074479,0.017472,0.072398,0.017701,221.0,Bulgaria,BGR,BGR,20210209
0.117661,0.010845,0.105,0.011399,800.0,Canada,CAN,CAN,20210209
0.063516,0.012065,0.064748,0.011958,417.0,Chile,CHL,CHL,20210209
0.045065,0.005832,0.036609,0.006442,1038.0,Colombia,COL,COL,20210209
0.052767,0.023577,0.073171,0.020241,123.0,Costa Rica,CRI,CRI,20210209
0.137312,0.026467,0.115646,0.028484,147.0,Croatia,HRV,HRV,20210209
0.114661,0.015341,0.113953,0.015383,430.0,Czech Republic,CZE,CZE,20210209
0.151667,0.027507,0.158192,0.027038,177.0,Denmark,DNK,DNK,20210209
0.107619,0.02427,0.098684,0.025219,152.0,Dominican Republic,DOM,DOM,20210209
0.054476,0.010037,0.052525,0.010211,495.0,Ecuador,ECU,ECU,20210209
0.072294,0.012019,0.075975,0.011747,487.0,Egypt,EGY,EGY,20210209
0.088774,0.02163,0.093407,0.021141,182.0,El Salvador,SLV,SLV,20210209
0.083065,0.006004,0.083412,0.005992,2122.0,France,FRA,FRA,20210209
0.099034,0.007539,0.100189,0.007501,1587.0,Germany,DEU,DEU,20210209
0.171575,0.031275,0.15942,0.03221,138.0,Ghana,GHA,GHA,20210209
0.033283,0.009726,0.037037,0.009238,378.0,Greece,GRC,GRC,20210209
0.160757,0.023009,0.108696,0.027152,184.0,Guatemala,GTM,GTM,20210209
0.119288,0.023513,0.098765,0.025545,162.0,Honduras,HND,HND,20210209
0.083057,0.024236,0.070796,0.026076,113.0,Hong Kong,HKG,HKG,20210209
0.105303,0.012929,0.102004,0.013112,549.0,Hungary,HUN,HUN,20210209
0.051514,0.006402,0.060145,0.005952,1380.0,India,IND,IND,20210209
0.092894,0.010408,0.096654,0.010225,807.0,Indonesia,IDN,IDN,20210209
0.086903,0.018956,0.103846,0.017504,260.0,Iraq,IRQ,IRQ,20210209
0.097005,0.023498,0.088435,0.024494,147.0,Ireland,IRL,IRL,20210209
0.16802,0.033242,0.147826,0.035017,115.0,Israel,ISR,ISR,20210209
0.065113,0.007063,0.067407,0.006951,1261.0,Italy,ITA,ITA,20210209
0.0826,0.004211,0.086908,0.004115,4476.0,Japan,JPN,JPN,20210209
0.179439,0.029325,0.176471,0.029517,170.0,Jordan,JOR,JOR,20210209
0.053097,0.023801,0.064815,0.021677,108.0,Kazakhstan,KAZ,KAZ,20210209
0.028716,0.014329,0.032468,0.013502,154.0,Kenya,KEN,KEN,20210209
0.081715,0.011619,0.053333,0.014165,375.0,Malaysia,MYS,MYS,20210209
0.064445,0.004626,0.059764,0.004792,2627.0,Mexico,MEX,MEX,20210209
0.01787,0.019432,0.044248,0.012518,113.0,Nepal,NPL,NPL,20210209
0.111108,0.013462,0.102362,0.013957,508.0,Netherlands,NLD,NLD,20210209
0.079097,0.018127,0.08,0.018033,225.0,New Zealand,NZL,NZL,20210209
0.021423,0.013532,0.019231,0.014266,104.0,Nicaragua,NIC,NIC,20210209
0.062813,0.013122,0.053872,0.014102,297.0,Nigeria,NGA,NGA,20210209
0.08725,0.01673,0.087413,0.016716,286.0,Norway,NOR,NOR,20210209
0.047182,0.016517,0.061321,0.014597,212.0,Pakistan,PAK,PAK,20210209
0.076802,0.020828,0.052174,0.024939,115.0,Paraguay,PRY,PRY,20210209
0.047528,0.008493,0.048438,0.008417,640.0,Peru,PER,PER,20210209
0.063869,0.008651,0.0625,0.008738,784.0,Philippines,PHL,PHL,20210209
0.054472,0.010634,0.06403,0.009858,531.0,Poland,POL,POL,20210209
0.055703,0.009547,0.05641,0.00949,585.0,Portugal,PRT,PRT,20210209
0.028858,0.022346,0.056075,0.01626,107.0,"Puerto Rico, U.S.",PRI,PRI,20210209
0.097589,0.013901,0.092166,0.014261,434.0,Romania,ROU,ROU,20210209
0.087467,0.010687,0.098718,0.010122,780.0,Russia,RUS,RUS,20210209
0.063785,0.026592,0.108696,0.020878,138.0,Saudi Arabia,SAU,SAU,20210209
0.046233,0.015629,0.05314,0.014631,207.0,Serbia,SRB,SRB,20210209
0.10818,0.022301,0.1133,0.021854,203.0,Slovakia,SVK,SVK,20210209
0.117822,0.034015,0.141509,0.031463,106.0,Slovenia,SVN,SVN,20210209
0.089909,0.013721,0.090909,0.013652,440.0,South Africa,ZAF,ZAF,20210209
0.067875,0.014192,0.058394,0.015223,274.0,South Korea,KOR,KOR,20210209
0.054134,0.006828,0.043575,0.007568,895.0,Spain,ESP,ESP,20210209
0.095009,0.011599,0.095164,0.011591,641.0,Sweden,SWE,SWE,20210209
0.105359,0.01856,0.113014,0.017998,292.0,Switzerland,CHE,CHE,20210209
0.042786,0.00612,0.044248,0.006023,1130.0,Taiwan,TWN,TWN,20210209
0.052639,0.007872,0.049072,0.008138,754.0,Thailand,THA,THA,20210209
0.060386,0.016293,0.060465,0.016283,215.0,Tunisia,TUN,TUN,20210209
0.068297,0.009551,0.060703,0.01009,626.0,Turkey,TUR,TUR,20210209
0.045801,0.007279,0.048331,0.007096,869.0,Ukraine,UKR,UKR,20210209
0.08521,0.012067,0.085502,0.012048,538.0,United Kingdom,GBR,GBR,20210209
0.053026,0.012226,0.03937,0.014088,254.0,Uruguay,URY,URY,20210209
0.078594,0.013603,0.068966,0.014446,348.0,Venezuela,VEN,VEN,20210209
