,Country,Date,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
166,Austria,20201014,0.008744,0.009774,0.839208,0.580763,0.305008,0.020786,,,,,,,,,,,,0.988569,0.410182,0.459444,0.127257
167,Austria,20201015,0.007087,0.007807,0.839919,0.592458,0.30807,0.017447,,,,,,,,,,,,0.986685,0.421633,0.457006,0.127858
168,Austria,20201016,0.006526,0.007244,0.838969,0.589407,0.303933,0.017475,,,,,,,,,,,,0.987359,0.417527,0.46091,0.124185
169,Austria,20201017,0.005236,0.005729,0.842921,0.58117,0.301877,0.016582,,,,,,,,,,,,0.987971,0.424114,0.456373,0.115962
170,Austria,20201018,0.004304,0.004704,0.85143,0.57988,0.301457,0.015633,,,,,,,,,,,,0.988321,0.420896,0.46925,0.115101
171,Austria,20201019,0.004151,0.004344,0.851706,0.58213,0.307876,0.015364,,,,,,,,,,,,0.988179,0.425337,0.467536,0.111205
172,Austria,20201020,0.004868,0.005368,0.849298,0.584816,0.304745,0.016484,,,,,,,,,,,,0.988228,0.431088,0.462214,0.109421
173,Austria,20201021,0.005924,0.006743,0.847305,0.586574,0.301981,0.015671,,,,,,,,,,,,0.988292,0.434298,0.456228,0.113585
174,Austria,20201022,0.00603,0.006769,0.846695,0.580803,0.298346,0.015492,,,,,,,,,,,,0.98863,0.425242,0.462798,0.114572
175,Austria,20201023,0.005454,0.006324,0.848567,0.577535,0.29994,0.014991,,,,,,,,,,,,0.988421,0.431661,0.454797,0.121535
176,Austria,20201024,0.00615,0.006751,0.845729,0.573925,0.301429,0.014571,,,,,,,,,,,,0.987081,0.431127,0.453678,0.131281
177,Austria,20201025,0.007021,0.007644,0.843538,0.566588,0.29431,0.01555,,,,,,,,,,,,0.985707,0.446163,0.437821,0.138844
178,Austria,20201026,0.007576,0.008717,0.845242,0.56076,0.291258,0.016094,,,,,,,,,,,,0.985134,0.445908,0.436035,0.148208
179,Austria,20201027,0.007381,0.008014,0.847206,0.554523,0.296233,0.015975,,,,,,,,,,,,0.986644,0.449771,0.43466,0.153485
180,Austria,20201028,0.005384,0.005564,0.85675,0.556657,0.289927,0.013125,,,,,,,,,,,,0.987707,0.444157,0.444997,0.163172
181,Austria,20201029,0.005145,0.005814,0.858136,0.562622,0.292272,0.015412,,,,,,,,,,,,0.986864,0.444487,0.440886,0.162562
182,Austria,20201030,0.005575,0.005911,0.857739,0.572091,0.292533,0.016506,,,,,,,,,,,,0.987958,0.443635,0.442638,0.16326
183,Austria,20201031,0.009347,0.006097,0.858912,0.570399,0.29773,0.020611,,,,,,,,,,,,0.988183,0.446212,0.441572,0.161891
184,Austria,20201101,0.009541,0.006445,0.854514,0.575736,0.299909,0.021288,,,,,,,,,,,,0.988017,0.44357,0.437661,0.162392
185,Austria,20201102,0.008368,0.005195,0.85495,0.577673,0.301818,0.020258,,,,,,,,,,,,0.986686,0.44212,0.435116,0.162927
186,Austria,20201103,0.00863,0.005448,0.856987,0.579673,0.299779,0.020662,,,,,,,,,,,,0.986037,0.436671,0.439441,0.161436
187,Austria,20201104,0.010226,0.006851,0.854684,0.57047,0.298795,0.027416,,,,,,,,,,,,0.987505,0.442663,0.428063,0.163884
188,Austria,20201105,0.012449,0.008323,0.855867,0.546997,0.296866,0.025523,,,,,,,,,,,,0.989095,0.436296,0.43241,0.164101
189,Austria,20201106,0.01219,0.008738,0.855462,0.54066,0.297955,0.025561,,,,,,,,,,,,0.987425,0.437529,0.4293,0.163652
190,Austria,20201107,0.009117,0.009716,0.861291,0.528674,0.286675,0.023409,,,,,,,,,,,,0.9884,0.439398,0.426431,0.166801
191,Austria,20201108,0.009809,0.010115,0.866483,0.513896,0.29227,0.024789,,,,,,,,,,,,0.988762,0.430282,0.431833,0.164955
192,Austria,20201109,0.012719,0.011719,0.865312,0.497607,0.287043,0.028236,,,,,,,,,,,,0.98659,0.443223,0.423712,0.167356
193,Austria,20201110,0.012199,0.011459,0.865013,0.480032,0.288056,0.02791,,,,,,,,,,,,0.987051,0.448311,0.418646,0.170094
194,Austria,20201111,0.012906,0.011974,0.863561,0.47463,0.290281,0.027348,,,,,,,,,,,,0.985151,0.442205,0.42878,0.169782
