,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
105,0.015145,0.016018,0.078119,0.625018,0.28854,0.02662,,,,,,,,,,,,0.996342,0.336474,0.59108,0.094327
106,0.015289,0.015813,0.101399,0.601283,0.292315,0.027434,,,,,,,,,,,,0.996916,0.332937,0.597481,0.096272
107,0.016098,0.016479,0.123611,0.582064,0.294518,0.027602,,,,,,,,,,,,0.997035,0.327007,0.602886,0.099138
108,0.015921,0.015792,0.149669,0.557507,0.294478,0.027795,,,,,,,,,,,,0.997454,0.321213,0.610193,0.098996
109,0.014531,0.014107,0.178849,0.530139,0.292857,0.027562,,,,,,,,,,,,0.997172,0.314379,0.619991,0.099934
110,0.015102,0.014471,0.209116,0.517382,0.291273,0.026482,,,,,,,,,,,,0.99649,0.309968,0.626427,0.095029
111,0.016377,0.016284,0.233126,0.521275,0.28207,0.025913,,,,,,,,,,,,0.996236,0.311211,0.626899,0.092966
112,0.015768,0.015592,0.24493,0.527294,0.275496,0.025555,,,,,,,,,,,,0.996944,0.308327,0.632455,0.092698
113,0.016875,0.017115,0.255547,0.527873,0.272137,0.02476,,,,,,,,,,,,0.996741,0.305268,0.63401,0.089054
114,0.015926,0.016849,0.269933,0.529428,0.268295,0.024052,,,,,,,,,,,,0.997584,0.307395,0.630922,0.088668
115,0.01668,0.017634,0.279374,0.533461,0.271947,0.023377,,,,,,,,,,,,0.996912,0.31145,0.626097,0.084508
116,0.016371,0.017375,0.28465,0.538194,0.270876,0.02408,,,,,,,,,,,,0.997374,0.308465,0.628232,0.080963
117,0.015386,0.016438,0.286084,0.543888,0.268508,0.024593,,,,,,,,,,,,0.997768,0.309481,0.627032,0.082468
118,0.014875,0.015864,0.286784,0.541231,0.268277,0.025849,,,,,,,,,,,,0.997568,0.307697,0.62881,0.08201
119,0.013998,0.015367,0.292336,0.536294,0.265978,0.026017,,,,,,,,,,,,0.997231,0.305548,0.625497,0.0777
120,0.012221,0.0134,0.295451,0.543173,0.265401,0.026188,,,,,,,,,,,,0.997328,0.307521,0.62427,0.077326
121,0.010611,0.011488,0.292676,0.545857,0.265119,0.02419,,,,,,,,,,,,0.996992,0.309647,0.626147,0.072026
122,0.009153,0.010426,0.295593,0.556722,0.257563,0.024345,,,,,,,,,,,,0.997,0.316024,0.622762,0.07011
123,0.010478,0.012013,0.292498,0.559305,0.258321,0.023994,,,,,,,,,,,,0.996861,0.315646,0.625514,0.072819
124,0.010133,0.011792,0.296792,0.566557,0.261789,0.021936,,,,,,,,,,,,0.996529,0.318275,0.624121,0.07263
125,0.010484,0.011988,0.303366,0.573283,0.260417,0.021557,,,,,,,,,,,,0.996372,0.314909,0.62588,0.073007
126,0.011342,0.012346,0.306672,0.588088,0.263344,0.022839,,,,,,,,,,,,0.99629,0.322541,0.62185,0.07467
127,0.012899,0.013606,0.311121,0.597113,0.26424,0.020896,,,,,,,,,,,,0.995768,0.320647,0.617425,0.071769
128,0.015328,0.016359,0.316173,0.618803,0.265636,0.022404,,,,,,,,,,,,0.996209,0.314265,0.620986,0.066917
129,0.01599,0.016684,0.319418,0.622976,0.270856,0.021657,,,,,,,,,,,,0.995864,0.310512,0.623076,0.067916
130,0.013896,0.014648,0.313665,0.628027,0.265756,0.020192,,,,,,,,,,,,0.996172,0.308923,0.621801,0.062118
131,0.013421,0.014564,0.309834,0.631391,0.265359,0.020327,,,,,,,,,,,,0.996524,0.305152,0.627576,0.058535
132,0.01351,0.01567,0.304944,0.640228,0.266939,0.023057,,,,,,,,,,,,0.997021,0.302799,0.626396,0.057242
133,0.013242,0.016073,0.303031,0.642736,0.265039,0.020994,,,,,,,,,,,,0.99725,0.298093,0.63083,0.053584
134,0.015093,0.018486,0.296435,0.646811,0.269543,0.027904,,,,,,,,,,,,0.995357,0.301106,0.631235,0.056589
135,0.013513,0.016098,0.301246,0.634271,0.273414,0.027197,,,,,,,,,,,,0.995292,0.306159,0.629363,0.057014
136,0.01591,0.018426,0.291905,0.63034,0.268002,0.031666,,,,,,,,,,,,0.996197,0.30904,0.628897,0.058238
137,0.015001,0.017256,0.295,0.63047,0.265857,0.029559,,,,,,,,,,,,0.996383,0.314688,0.625312,0.05964
138,0.015583,0.017204,0.296876,0.631081,0.265611,0.028884,,,,,,,,,,,,0.995954,0.310322,0.62616,0.062054
139,0.014074,0.014548,0.291955,0.625926,0.264,0.025493,,,,,,,,,,,,0.994398,0.309223,0.625179,0.060427
140,0.014588,0.015402,0.293639,0.623108,0.26978,0.027381,,,,,,,,,,,,0.992999,0.308643,0.623797,0.062984
141,0.012638,0.012908,0.296721,0.624368,0.2644,0.023567,,,,,,,,,,,,0.994726,0.305731,0.62823,0.061431
142,0.011786,0.011952,0.290159,0.630089,0.260395,0.022157,,,,,,,,,,,,0.994671,0.303643,0.628747,0.065597
143,0.009276,0.009455,0.292533,0.635195,0.266687,0.016646,,,,,,,,,,,,0.9944,0.295981,0.629294,0.063895
144,0.012579,0.012811,0.291143,0.638492,0.270927,0.017957,,,,,,,,,,,,0.994246,0.292431,0.627279,0.066184
145,0.012215,0.013184,0.283175,0.643838,0.264119,0.01986,,,,,,,,,,,,0.992132,0.30044,0.619241,0.068445
146,0.012501,0.01353,0.28048,0.647617,0.256549,0.019032,,,,,,,,,,,,0.993496,0.312295,0.61045,0.066505
147,0.012099,0.013176,0.27153,0.660175,0.249646,0.017503,,,,,,,,,,,,0.994635,0.316934,0.605789,0.068968
148,0.011881,0.013424,0.264767,0.662877,0.251417,0.018247,,,,,,,,,,,,0.99556,0.312525,0.609599,0.068617
149,0.013334,0.015783,0.260241,0.661638,0.24369,0.018745,,,,,,,,,,,,0.995131,0.314853,0.607104,0.067365
150,0.01451,0.01658,0.257901,0.660964,0.236604,0.020951,,,,,,,,,,,,0.995641,0.313344,0.615768,0.064002
151,0.012563,0.014412,0.252931,0.662393,0.226634,0.020639,,,,,,,,,,,,0.995639,0.314464,0.618614,0.05908
152,0.011915,0.013112,0.244823,0.660882,0.221022,0.018746,,,,,,,,,,,,0.99781,0.313096,0.617006,0.054461
153,0.012369,0.013963,0.241231,0.65959,0.227731,0.02345,,,,,,,,,,,,0.997749,0.309725,0.617985,0.056964
154,0.014541,0.016132,0.236557,0.655613,0.221798,0.023233,,,,,,,,,,,,0.997516,0.313953,0.615739,0.060709
155,0.015258,0.01664,0.225896,0.65778,0.212126,0.023768,,,,,,,,,,,,0.997412,0.325965,0.603744,0.059071
156,0.014807,0.015455,0.216376,0.665747,0.213874,0.025514,,,,,,,,,,,,0.99742,0.328801,0.595604,0.059355
157,0.014499,0.014781,0.205817,0.671226,0.21915,0.026122,,,,,,,,,,,,0.99636,0.337975,0.586507,0.059512
158,0.014295,0.01458,0.197166,0.675677,0.221205,0.025426,,,,,,,,,,,,0.995353,0.342117,0.583465,0.059074
159,0.014021,0.014104,0.193108,0.675525,0.231975,0.027111,,,,,,,,,,,,0.995824,0.342225,0.587962,0.061443
160,0.014122,0.01401,0.188466,0.682698,0.224021,0.023917,,,,,,,,,,,,0.996238,0.341308,0.593641,0.059084
161,0.012321,0.011215,0.184611,0.686668,0.233028,0.024655,,,,,,,,,,,,0.997363,0.33641,0.598272,0.051656
162,0.013595,0.012484,0.184786,0.691713,0.234898,0.02211,,,,,,,,,,,,0.996745,0.329331,0.604858,0.054698
163,0.015915,0.014806,0.178421,0.698879,0.232544,0.021307,,,,,,,,,,,,0.996657,0.328324,0.605202,0.051851
164,0.015961,0.014924,0.167265,0.705129,0.231041,0.018362,,,,,,,,,,,,0.996535,0.31959,0.609007,0.054019
165,0.016315,0.015248,0.160319,0.712339,0.236895,0.020054,,,,,,,,,,,,0.997441,0.321613,0.606371,0.055866
166,0.018763,0.018258,0.15267,0.722376,0.221655,0.021235,,,,,,,,,,,,0.997375,0.322209,0.604734,0.057561
