,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
106,0.001977,0.001892,0.883286,0.559664,0.36137,0.009397,,,,,,,,,,,,0.997467,0.376777,0.557532,0.033195
107,0.001589,0.002092,0.885166,0.562856,0.364498,0.008338,,,,,,,,,,,,0.997329,0.374874,0.560097,0.033211
108,0.001649,0.002114,0.885604,0.564402,0.367903,0.008086,,,,,,,,,,,,0.997429,0.375875,0.556702,0.033554
109,0.001641,0.002107,0.886057,0.561513,0.368455,0.007441,,,,,,,,,,,,0.99742,0.374816,0.558017,0.034386
110,0.001552,0.001979,0.886782,0.559013,0.371915,0.006876,,,,,,,,,,,,0.997447,0.373771,0.557832,0.035297
111,0.001714,0.002129,0.890898,0.56093,0.369794,0.00667,,,,,,,,,,,,0.997635,0.372118,0.560215,0.035581
112,0.002141,0.002594,0.893739,0.561327,0.368747,0.006874,,,,,,,,,,,,0.997785,0.369639,0.562523,0.036595
113,0.002103,0.002507,0.897466,0.559013,0.368326,0.006544,,,,,,,,,,,,0.997941,0.369825,0.563589,0.037021
114,0.002485,0.002976,0.900597,0.557081,0.365407,0.007115,,,,,,,,,,,,0.997898,0.369907,0.563761,0.038169
115,0.002398,0.002899,0.904082,0.55571,0.36289,0.007309,,,,,,,,,,,,0.997764,0.371804,0.56331,0.038889
116,0.00254,0.003113,0.904603,0.555866,0.360837,0.007279,,,,,,,,,,,,0.997548,0.374172,0.561306,0.039444
117,0.002774,0.003304,0.907263,0.556794,0.361105,0.007512,,,,,,,,,,,,0.997414,0.375201,0.560862,0.040344
118,0.002831,0.00331,0.906777,0.554893,0.363107,0.007396,,,,,,,,,,,,0.997335,0.374815,0.561996,0.041033
119,0.002529,0.003048,0.907928,0.554254,0.362378,0.007515,,,,,,,,,,,,0.997171,0.377351,0.560188,0.041036
120,0.00253,0.003067,0.910781,0.553328,0.36399,0.008133,,,,,,,,,,,,0.997456,0.377596,0.560707,0.041462
121,0.002301,0.002767,0.912365,0.554377,0.360734,0.007779,,,,,,,,,,,,0.997415,0.37592,0.563496,0.041139
122,0.002384,0.002823,0.915496,0.550662,0.36015,0.00765,,,,,,,,,,,,0.997644,0.374022,0.565734,0.041409
123,0.002576,0.002952,0.919683,0.548415,0.359705,0.008144,,,,,,,,,,,,0.997801,0.371434,0.567566,0.040441
124,0.002465,0.003021,0.92258,0.54934,0.356328,0.008602,,,,,,,,,,,,0.997916,0.370097,0.568737,0.040075
125,0.002434,0.00306,0.925373,0.546321,0.352376,0.008637,,,,,,,,,,,,0.998183,0.369716,0.568662,0.039931
126,0.002656,0.003255,0.927151,0.544948,0.349577,0.008942,,,,,,,,,,,,0.99831,0.367901,0.571798,0.040703
127,0.002506,0.003138,0.928191,0.543613,0.349838,0.008435,,,,,,,,,,,,0.998232,0.366874,0.572725,0.041391
128,0.002312,0.002897,0.930295,0.541042,0.348919,0.008603,,,,,,,,,,,,0.998694,0.36781,0.57121,0.042291
129,0.002338,0.002911,0.929755,0.543909,0.34687,0.008903,,,,,,,,,,,,0.998597,0.365568,0.573272,0.042392
130,0.002654,0.003155,0.929219,0.542967,0.345203,0.009226,,,,,,,,,,,,0.998797,0.365171,0.574339,0.043681
131,0.002721,0.003076,0.928635,0.541139,0.344885,0.008743,,,,,,,,,,,,0.998662,0.36141,0.578927,0.044147
132,0.002567,0.002827,0.929209,0.541177,0.343887,0.008954,,,,,,,,,,,,0.998544,0.360736,0.580593,0.043597
133,0.002611,0.00274,0.930204,0.543813,0.342661,0.008803,,,,,,,,,,,,0.998451,0.360901,0.579011,0.043722
